"ID_echantillon";"Nom_scientifique";"Genre";"Espece";"ID_espece";"Milieu_recolte";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_ramifications";"BD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT";"VPD"
"05_5";"Codia spatulata";"Codia";"spatulata";5;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,84;22,25;8,26;16,65;4,58;424,46;13,59;0
"05_6";"Codia spatulata";"Codia";"spatulata";5;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,23;26,75;8,64;30,19;1,79;662,02;20,65;0
"06_1";"Geissois pruinosa";"Geissois";"pruinosa";6;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,79;21,36;3,85;30,4;7,12;495,48;14,11;0
"06_2";"Geissois pruinosa";"Geissois";"pruinosa";6;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,02;12,21;4,21;2,55;3,22;213,5;1,43;0
"06_3";"Geissois pruinosa";"Geissois";"pruinosa";6;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,88;35,11;6,51;42,15;6,33;768,34;15,82;0
"06_4";"Geissois pruinosa";"Geissois";"pruinosa";6;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,35;9,73;3,56;5,98;4,44;157,63;3,21;0
"06_5";"Geissois pruinosa";"Geissois";"pruinosa";6;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,67;8,8;2,94;7,27;2,94;197,28;4,96;0
"06_6";"Geissois pruinosa";"Geissois";"pruinosa";6;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23,74;9,85;4,62;26,66;7,61;728,35;10,72;0
"07_1";"Araucaria columnaris";"Araucaria";"columnaris";7;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,71;4,41;2,12;13,4;128,48;11669,68;57,88;0
"07_2";"Araucaria columnaris";"Araucaria";"columnaris";7;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,42;7,71;0,64;16,13;2,41;186,39;12,16;0
"07_3";"Araucaria columnaris";"Araucaria";"columnaris";7;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,81;3,99;0,58;8,16;3,1;259,37;10,57;0
"07_4";"Araucaria columnaris";"Araucaria";"columnaris";7;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,2;3,02;0,39;5,62;4,89;356,79;6,75;0
"07_5";"Araucaria columnaris";"Araucaria";"columnaris";7;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,54;3,97;0,31;10,45;3,81;402,16;14,91;0
"07_6";"Araucaria columnaris";"Araucaria";"columnaris";7;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,93;31,9;0,35;101,84;5,39;413,48;78,91;0
"08_1";"Casuarina collina";"Casuarina";"collina";8;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,41;14,31;4,74;45,67;6,47;10741,25;19,41;0
"08_2";"Casuarina collina";"Casuarina";"collina";8;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,77;4,66;1,66;8,25;1,09;288,66;2,48;0
"08_3";"Casuarina collina";"Casuarina";"collina";8;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,75;0,93;0,88;7,12;0,52;450,38;3,86;0
"08_4";"Casuarina collina";"Casuarina";"collina";8;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27,55;14,55;10,82;57,57;0,43;6943,83;9,92;0
"08_5";"Casuarina collina";"Casuarina";"collina";8;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,83;13,83;6,75;25,38;0,86;1017,82;4,96;0
"08_6";"Casuarina collina";"Casuarina";"collina";8;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33,17;19,52;5,67;66,5;0,16;2213,29;10,14;0
"09_1";"Arillastrum gummiferum";"Arillastrum";"gummiferum";9;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,92;7,99;3,33;11,24;15,01;138,61;2,99;0
"09_2";"Arillastrum gummiferum";"Arillastrum";"gummiferum";9;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,63;10,17;3,2;15,84;17,5;380,68;13,05;0
