"";"Nom_scientifique";"ID_espece";"Milieu_recolte";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_ramifications";"BD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT";"VPD";"Nb_FI"
"11";"Archidendropsis granulosa";28;"F";26,4;4;67,1;9,5;0,5;9,5;28;28;704,23;88,33;88,33;1;7,83;1,81;86,36;68,42;538,62;0,52;9,56;16,44;130,44;41,65;38,39;435,02;0,43;13711,39;32,52;1,13;6
"12";"Arillastrum gummiferum ";9;"M";28,32;3,5;77,32;8,75;1,25;8,75;33;33;750,67;42,5;42,5;1;8,33;5,99;78,22;66,56;561,32;0,91;12,55;8,55;126,03;88,31;16,82;446,43;57,71;5765,58;82,69;0,88;6
"13";"Barringtonia asiatica";17;"G";26,3;1,5;81,7;4,17;4,17;5,83;9,83;11,5;331,75;4,67;5,83;0,67;2;4,92;215,83;193,71;321,18;0,84;16,72;3,27;324,03;304,57;4,59;237,63;378,08;9548,28;25,54;0,63;4
"14";"Calophyllum caledonicum";39;"F";26,6;1,5;65,3;8,4;1,6;8,4;33;33;744,04;38;38;1;8,6;4,39;96,14;85,1;511,55;0,63;12,01;15,3;128,14;96,6;13,87;438,83;31,76;5560,86;80,27;1,21;5
"15";"Calophyllum inophyllum";13;"G";28,5;3,2;68,1;9,1;0,9;9,1;33,6;33,6;622,58;78;78;1;1,6;14,43;126,98;106,94;442,46;0,6;11,59;9,27;144,14;105,03;16,09;415,76;110,17;6810,71;63,82;1,24;5
"16";"Casuarina collina";8;"";29,6;3,8;71,9;9,5;0,5;9,5;38;38;702,62;94,17;94,17;1;23,33;4,52;70,81;51,11;586,74;0,5;8,97;11,55;110,58;29,78;38,19;478,88;4,52;12421,98;44,89;1,17;6
"17";"Cerbera manghas";20;"G";29,1;1,5;68,8;5,67;1,25;8,75;12,83;16;424,57;10;15;0,67;3,33;5,43;223,47;201,5;333,02;0,75;15,92;2,8;281,45;251,62;7,8;263,52;68,34;13831,27;19,61;1,26;4
"18";"Cerberiopsis candelabra";58;"";29,7;6;64;0,5;5,83;4,17;1,17;4,83;192,65;0,83;4;0,17;0;32,11;151,83;137,01;409;0,74;15,53;19,96;228,46;149,86;24,05;305,45;119,14;5684,74;54,29;1,5;1
"19";"Codia spatulata";5;"M";31,8;4,2;54,9;8,33;1,67;8,33;64,17;64,17;785,05;62,5;62,5;1;9,83;5,05;81,09;67,98;553,61;0,74;13,78;21,82;112,2;70,75;19,59;472,06;18,25;4727,26;101,07;2,12;6
"20";"Codiaeum peltatum";42;"L";27,4;1,4;75;8,7;1,3;8,7;14;14;636,68;20;20;1;5,4;1,95;89,51;73,33;528,97;0,52;9,83;4,41;208,95;183,68;8,23;325,39;21,82;12040,1;27,66;0,91;5
"21";"Commersonia bartramia";61;"";27,9;2;70,9;9,33;0,67;9,33;30,5;30,5;742,22;64,17;64,17;1;5,67;5,41;145,24;107,53;409,7;0,4;9,86;11,29;167,3;56,44;41,29;375,84;69,07;17349,67;22,34;1,09;6
"22";"Cordia dichotoma";44;"L";25,7;1,2;76,8;9,17;0,83;9,17;20;20;571,2;30;30;0,83;1,17;1,55;209,58;162,79;325,96;0,39;7,65;60,81;258,28;35,66;61,81;281,48;44,98;13653,7;21,71;0,77;5
"23";"Crossostylis grandiflora";48;"F";29,5;5;59,9;8,92;1,08;8,92;20,17;20,17;656,78;42,5;42,5;1;3,83;9,36;156,55;140,71;389,96;0,6;11,48;35,92;219,21;166,39;16,82;315,96;73,65;8897,99;36,9;1,65;6
"24";"Deplanchea speciosa";63;"";31,7;3;66,5;9,17;0,83;9,17;25;25;694,5;70;70;1;0,17;12,91;182,33;156,55;356,91;0,67;14,16;12,71;270,23;193,3;21,55;274,11;222,89;8956,24;32,29;1,57;6
"25";"Diospyros fasciculosa";40;"L";27,4;1,4;75;9,33;0,67;9,33;20,33;20,33;709,98;33,33;33,33;1;7,5;2,21;86,77;73,44;536,18;0,48;9,1;10,66;103,56;58,03;22,36;492,79;35,83;9206,86;55,53;0,91;6
"26";"Dracophyllum verticillatum";60;"";27,9;2;70,9;9,08;0,92;9,08;78,5;78,5;897,18;92,83;92,83;1;0,17;4,98;63,72;53,58;613,91;1,06;25,56;15,59;76,11;32,91;24,75;571,02;60,88;3491,04;168,25;1,09;6
