Column1;data_source;identifiant;family;genus;taxaname;plot_name;locality_occ;plot_type;month;year;phenology;dbh;height;wood_density;volumetric_shrinkage;fiber_saturation_point;leaf_area;leaf_sla;leaf_ldmc;leaf_thickness;bark_thickness;longitude;latitude;rq
;nc_pippn;ADM0577;Fabaceae;Acacia;Acacia spirorbis;PMBT177;;circle_R11,28;5;2022;;15,6;;0,95;;;7,3;5,2;467,5;;;164,955566;-21,170355;projet admire pmbt
;nc_pippn;ADM0608;Fabaceae;Acacia;Acacia spirorbis;PMBT177;;circle_R11,28;5;2022;;13,7;;;;;7,6;4,8;467,1;;;164,955566;-21,170355;projet admire pmbt
1139;nc_pippn;FBA00704;Fabaceae;Acacia;Acacia spirorbis;FBA_008_KP;;circle_R11,28;3;2018;;30,9;7,7;0,94;;;13,1;6,6;379,9;;18;164,960663;-21,174366;
1140;nc_pippn;FBA00709;Fabaceae;Acacia;Acacia spirorbis;FBA_008_KP;;circle_R11,28;3;2018;;21,3;4,9;0,99;;;17,1;6,3;385,2;;10;164,960663;-21,174366;
1224;nc_pippn;FBA00981;Fabaceae;Acacia;Acacia spirorbis;FBA_017_KP;;circle_R11,28;3;2018;;41,4;8,2;0,82;;;6,9;7,6;406,1;;24;165,006767;-21,082287;
1330;nc_pippn;FBA03144;Fabaceae;Acacia;Acacia spirorbis;FBA_037_KP;;circle_R11,28;4;2018;;20,1;;0,97;;;;;;;11,5;165,065329;-21,140126;
;occ_gps;TF0053;Rubiaceae;Achilleanthus;Achilleanthus glabrescens;;Ngo;;7;2023;;21;;0,72;;;28,2;6,2;467,1;;;166,71486;-22,300515;
2727;nc_pippn;NC077141;Rubiaceae;Achilleanthus;Achilleanthus ngoyensis;Prokomeo;;plot_100x100;7;2019;;15,5;;0,63;;;;;;;;165,869725;-21,493639;
2740;nc_pippn;NC077353;Rubiaceae;Achilleanthus;Achilleanthus ngoyensis;Prokomeo;;plot_100x100;7;2019;;10,3;;0,75;;;;;;;;165,869725;-21,493639;
2751;nc_pippn;NC077475;Rubiaceae;Achilleanthus;Achilleanthus ngoyensis;Prokomeo;;plot_100x100;7;2019;;11,5;;0,65;;;;;;;;165,869725;-21,493639;
2766;nc_pippn;NC077670;Rubiaceae;Achilleanthus;Achilleanthus ngoyensis;Prokomeo;;plot_100x100;7;2019;Fruits;14,6;;0,7;;;;;;;;165,869725;-21,493639;
2767;nc_pippn;NC077678;Rubiaceae;Achilleanthus;Achilleanthus ngoyensis;Prokomeo;;plot_100x100;7;2019;;10;;0,7;;;;;;;;165,869725;-21,493639;
;nc_pippn;NC081146;Rubiaceae;Achilleanthus;Achilleanthus ngoyensis;Tchingou;;plot_100x100;5;2024;;15,6;;0,74;;;42,7;4,7;440,1;;;164,991107;-20,907696;
;nc_pippn;NC081506;Rubiaceae;Achilleanthus;Achilleanthus ngoyensis;Tchingou;;plot_100x100;5;2024;;11,5;;;;;44,3;5,3;415,3;;;164,991107;-20,907696;
;nc_pippn;NC081526;Rubiaceae;Achilleanthus;Achilleanthus ngoyensis;Tchingou;;plot_100x100;5;2024;Fruits;10,7;;;;;57,2;6,5;399,5;;;164,991107;-20,907696;
;nc_pippn;NC081887;Rubiaceae;Achilleanthus;Achilleanthus ngoyensis;Tchingou;;plot_100x100;5;2024;;11,8;;;;;34,7;5,5;436,3;;;164,991107;-20,907696;
2811;nc_pippn;NC073667;Malpighiaceae;Acridocarpus;Acridocarpus austrocaledonicus;Tiebaghi;;plot_100x100;12;2018;;13,7;;0,84;;;;;;;;164,226003;-20,431312;
1226;nc_pippn;FBA00997;Rutaceae;Acronychia;Acronychia laevis;FBA_017_KP;;circle_R11,28;3;2018;;21,3;3,8;0,7;;;9,9;8,4;426,6;;10;165,006767;-21,082287;
1228;nc_pippn;FBA01009;Rutaceae;Acronychia;Acronychia laevis;FBA_017_KP;;circle_R11,28;3;2018;;20,7;4,5;0,67;;;9,8;9,3;391,1;;4,5;165,006767;-21,082287;
1266;nc_pippn;FBA01257;Rutaceae;Acronychia;Acronychia laevis;FBA_026_KP;;circle_R11,28;3;2018;;18,1;10,5;0,75;;;17,2;10,1;400;;11;164,909174;-21,028206;
1208;nc_pippn;FBA02262;Rutaceae;Acronychia;Acronychia laevis;FBA_015_TC;;circle_R11,28;3;2018;;12,9;;0,63;;;19,4;10;381,9;;;165,310598;-21,018816;
27;nc_pippn;NC061033;Malvaceae;Acropogon;Acropogon aoupiniensis;Aoupinié;;plot_100x100;3;2015;Fleurs;13,7;;0,53;;;;;;;;165,277313;-21,177801;
96;nc_pippn;NC061694;Malvaceae;Acropogon;Acropogon aoupiniensis;Aoupinié;;plot_100x100;3;2015;;26,4;;0,68;;;;;;;;165,277313;-21,177801;
106;nc_pippn;NC061778;Malvaceae;Acropogon;Acropogon aoupiniensis;Aoupinié;;plot_100x100;3;2015;;13,7;;0,58;;;;;;;;165,277313;-21,177801;
137;nc_pippn;NC062036;Malvaceae;Acropogon;Acropogon aoupiniensis;Aoupinié;;plot_100x100;3;2015;;11,5;;0,57;;;;;;;;165,277313;-21,177801;
188;nc_pippn;NC062401;Malvaceae;Acropogon;Acropogon aoupiniensis;Aoupinié;;plot_100x100;3;2015;;12,4;;0,52;;;;;;;;165,277313;-21,177801;
;occ_gps;TF0077;Malvaceae;Acropogon;Acropogon dzumacensis;;Au pied du Mt Pouédihi;;8;2023;Boutons;41,7;;0,45;;;155,9;5,7;443,7;;;166,702337;-22,172828;
;occ_gps;TF0078;Malvaceae;Acropogon;Acropogon dzumacensis;;Au pied du Mt Pouédihi;;8;2023;;23,7;;0,62;;;132,9;4,8;690,5;;;166,701948;-22,172875;
;occ_gps;TF0079;Malvaceae;Acropogon;Acropogon dzumacensis;;Au pied du Mt Pouédihi;;8;2023;Boutons;34,1;;0,61;;;206,2;6,3;434,1;;;166,702353;-22,172971;
;occ_gps;TF0084;Malvaceae;Acropogon;Acropogon dzumacensis;;Au pied du Mt Pouédihi;;8;2023;;27,4;;0,67;;;148,5;4,6;460,3;;;166,698884;-22,172293;
;occ_gps;TF0087;Malvaceae;Acropogon;Acropogon dzumacensis;;Au pied du Mt Pouédihi;;8;2023;;16,6;;0,66;;;146,4;4,7;473,6;;;166,698601;-22,172231;
1319;nc_pippn;FBA03019;Malvaceae;Acropogon;Acropogon jaffrei;FBA_033_KP;;circle_R11,28;4;2018;Fruits;12,1;;0,69;;;568,8;5,9;440,6;;5;164,966209;-21,171516;
2451;nc_pippn;NC045077;Malvaceae;Acropogon;Acropogon macrocarpus;Laguen;;plot_100x100;2;2013;;11,5;7,6;0,45;;;;;;;;164,780212;-20,62504;
2458;nc_pippn;NC045182;Malvaceae;Acropogon;Acropogon macrocarpus;Laguen;;plot_100x100;2;2013;;15,3;;0,49;;;;;;;;164,780212;-20,62504;
2506;nc_pippn;NC045603;Malvaceae;Acropogon;Acropogon macrocarpus;Laguen;;plot_100x100;2;2013;;13,1;8,2;0,53;;;;;;;;164,780212;-20,62504;
2521;nc_pippn;NC045753;Malvaceae;Acropogon;Acropogon macrocarpus;Laguen;;plot_100x100;2;2013;;17,5;7,4;0,47;;;;;;;;164,780212;-20,62504;
2527;nc_pippn;NC045801;Malvaceae;Acropogon;Acropogon macrocarpus;Laguen;;plot_100x100;2;2013;;16,6;8,3;0,32;;;;;;;;164,780212;-20,62504;
2108;nc_pippn;NC072528;Malvaceae;Acropogon;Acropogon macrocarpus;Katalupaï;;plot_100x100;11;2017;;18,6;;0,53;;;;;;;;165,008391;-20,852515;
2109;nc_pippn;NC072531;Malvaceae;Acropogon;Acropogon macrocarpus;Katalupaï;;plot_100x100;11;2017;;15,1;;0,5;;;;;;;;165,008391;-20,852515;
2115;nc_pippn;NC072790;Malvaceae;Acropogon;Acropogon macrocarpus;Katalupaï;;plot_100x100;11;2017;;18,3;;0,56;;;;;;;;165,008391;-20,852515;
2116;nc_pippn;NC072796;Malvaceae;Acropogon;Acropogon macrocarpus;Katalupaï;;plot_100x100;11;2017;;19,4;;0,6;;;;;;;;165,008391;-20,852515;
249;nc_pippn;NC063184;Malvaceae;Acropogon;Acropogon merytifolius;Arago;;plot_100x100;6;2015;Fleurs;10,5;;0,47;;;;;;;;165,476563;-21,241476;
271;nc_pippn;NC063361;Malvaceae;Acropogon;Acropogon merytifolius;Arago;;plot_100x100;6;2015;;11,8;;0,56;;;;;;;;165,476563;-21,241476;
278;nc_pippn;NC063400;Malvaceae;Acropogon;Acropogon merytifolius;Arago;;plot_100x100;6;2015;;10,5;;0,56;;;;;;;;165,476563;-21,241476;
293;nc_pippn;NC063535;Malvaceae;Acropogon;Acropogon merytifolius;Arago;;plot_100x100;6;2015;;14,5;;0,36;;;;;;;;165,476563;-21,241476;
296;nc_pippn;NC063561;Malvaceae;Acropogon;Acropogon merytifolius;Arago;;plot_100x100;6;2015;;11,8;;0,35;;;;;;;;165,476563;-21,241476;
2448;nc_pippn;NC045004;Malvaceae;Acropogon;Acropogon schistophilus;Laguen;;plot_100x100;2;2013;;13,1;;0,67;;;;;;;;164,780212;-20,62504;
2467;nc_pippn;NC045266;Malvaceae;Acropogon;Acropogon schistophilus;Laguen;;plot_100x100;2;2013;;20,1;;0,62;;;;;;;;164,780212;-20,62504;
2489;nc_pippn;NC045409;Malvaceae;Acropogon;Acropogon schistophilus;Laguen;;plot_100x100;2;2013;;30,2;13;0,65;;;;;;;;164,780212;-20,62504;
2500;nc_pippn;NC045557;Malvaceae;Acropogon;Acropogon schistophilus;Laguen;;plot_100x100;2;2013;;15,3;13;0,58;;;;;;;;164,780212;-20,62504;
2501;nc_pippn;NC045561;Malvaceae;Acropogon;Acropogon schistophilus;Laguen;;plot_100x100;2;2013;;19,1;;0,62;;;;;;;;164,780212;-20,62504;
;nc_pippn;NC081234;Malvaceae;Acropogon;Acropogon schumannianus;Tchingou;;plot_100x100;5;2024;;10;;;;;131;11,4;337,1;;;164,991107;-20,907696;
;cirad_wdd;;Violaceae;Agatea;Agatea schlechteri;;;;;;;;;0,56;0,29;30;;;;;;;;
1838;nc_pippn;NC068029;Araucariaceae;Agathis;Agathis lanceolata;Grand Lac;;plot_100x100;5;2016;;64,9;;0,53;;;;;;;;166,903919;-22,274947;
1886;nc_pippn;NC068182;Araucariaceae;Agathis;Agathis lanceolata;Grand Lac;;plot_100x100;5;2016;;12,9;;0,54;;;;;;;;166,903919;-22,274947;
;nc_pippn;NC068235;Araucariaceae;Agathis;Agathis lanceolata;Grand Lac;;plot_100x100;6;2023;;;;;;;13,1;4,1;505;;;166,903919;-22,274947;
1922;nc_pippn;NC068331;Araucariaceae;Agathis;Agathis lanceolata;Grand Lac;;plot_100x100;5;2016;;61;;0,45;;;;;;;;166,903919;-22,274947;
1937;nc_pippn;NC068379;Araucariaceae;Agathis;Agathis lanceolata;Grand Lac;;plot_100x100;5;2016;;46,3;;0,47;;;;;;;;166,903919;-22,274947;
2006;nc_pippn;NC068615;Araucariaceae;Agathis;Agathis lanceolata;Grand Lac;;plot_100x100;5;2016;;77;;0,45;;;;;;;;166,903919;-22,274947;
;occ_gps;TF0069;Araucariaceae;Agathis;Agathis lanceolata;;Au pied du Mt Pouédihi;;8;2023;;26,4;;;;;11,6;3,1;565,9;;;166,698985;-22,173626;
;occ_gps;TF0076;Araucariaceae;Agathis;Agathis lanceolata;;Au pied du Mt Pouédihi;;8;2023;;58,3;;;;;13,1;3,7;523,7;;;166,699224;-22,173044;
;occ_gps;TF0128;Araucariaceae;Agathis;Agathis lanceolata;;Dzumac;;9;2023;;93,9;;;;;8;3,6;503,6;;;166,444885;-22,083421;
;cirad_wdd;;Araucariaceae;Agathis;Agathis lanceolata;;;;;;;;;0,48;0,5;31;;;;;;;;
;cirad_wdd;;Araucariaceae;Agathis;Agathis lanceolata;;;;;;;;;0,43;0,38;29;;;;;;;;
;cirad_wdd;;Araucariaceae;Agathis;Agathis lanceolata;;;;;;;;;0,48;0,3;NA;;;;;;;;
1543;nc_pippn;NC047292;Araucariaceae;Agathis;Agathis moorei;Forêt Plate P12;;plot_100x100;5;2013;;57,9;;0,51;;;;;;;;165,120361;-21,148142;
1576;nc_pippn;NC047431;Araucariaceae;Agathis;Agathis moorei;Forêt Plate P12;;plot_100x100;5;2013;;65,6;;0,45;;;;;;;;165,120361;-21,148142;
1594;nc_pippn;NC047534;Araucariaceae;Agathis;Agathis moorei;Forêt Plate P12;;plot_100x100;5;2013;;23,2;;0,49;;;;;;;;165,120361;-21,148142;
1596;nc_pippn;NC047539;Araucariaceae;Agathis;Agathis moorei;Forêt Plate P12;;plot_100x100;5;2013;;16,2;;0,52;;;;;;;;165,120361;-21,148142;
1598;nc_pippn;NC047553;Araucariaceae;Agathis;Agathis moorei;Forêt Plate P12;;plot_100x100;5;2013;;42,3;;0,44;;;;;;;;165,120361;-21,148142;
;cirad_wdd;;Araucariaceae;Agathis;Agathis moorei;;;;;;;;;0,5;0,36;29;;;;;;;;
;cirad_wdd;;Araucariaceae;Agathis;Agathis moorei;;;;;;;;;0,39;0,38;29;;;;;;;;
;cirad_wdd;;Araucariaceae;Agathis;Agathis moorei;;;;;;;;;0,44;0,36;29;;;;;;;;
;cirad_wdd;;Araucariaceae;Agathis;Agathis moorei;;;;;;;;;0,36;0,31;28;;;;;;;;
;cirad_wdd;;Araucariaceae;Agathis;Agathis moorei;;;;;;;;;0,43;0,35;28;;;;;;;;
2224;nc_pippn;KB00094;Araucariaceae;Agathis;Agathis ovata;KB22-20;;circle_R11,28;11;2020;;16,9;;0,57;;;7,6;2,6;603,7;;;166,955502;-22,219363;
2214;nc_pippn;KB00467;Araucariaceae;Agathis;Agathis ovata;KB21-20;;circle_R11,28;11;2021;;12,6;;0,64;;;18,4;3,1;495,1;;;166,954438;-22,221697;
2330;nc_pippn;KB00550;Araucariaceae;Agathis;Agathis ovata;KB38-100;;circle_R11,28;11;2021;;41,4;;0,56;;;;;;;;166,960466;-22,223499;
2321;nc_pippn;KB00609;Araucariaceae;Agathis;Agathis ovata;KB37-100;;circle_R11,28;11;2021;;68,8;;0,51;;;;;;;;166,961322;-22,224598;
2294;nc_pippn;KB00645;Araucariaceae;Agathis;Agathis ovata;KB35-100;;circle_R11,28;11;2021;;30,4;;0,53;;;5,9;3,9;502,3;;;166,964485;-22,228074;
2278;nc_pippn;KB00909;Araucariaceae;Agathis;Agathis ovata;KB33-100;;circle_R11,28;11;2021;;41,4;;0,59;;;8,7;3,8;445,4;;;166,96662;-22,230544;
2285;nc_pippn;KB00937;Araucariaceae;Agathis;Agathis ovata;KB33-100;;circle_R11,28;11;2021;;59,2;;0,54;;;7,9;3,3;532,4;;;166,96662;-22,230544;
2315;nc_pippn;KB01146;Araucariaceae;Agathis;Agathis ovata;KB36-100;;circle_R11,28;11;2021;;40,7;;0,57;;;12,2;4,2;476,4;;;166,961754;-22,22574;
2178;nc_pippn;KB01174;Araucariaceae;Agathis;Agathis ovata;KB18-20;;circle_R11,28;11;2021;;11,1;;0,58;;;14,3;3,3;486,3;;;166,961526;-22,226463;
746;nc_pippn;NC066810;Meliaceae;Aglaia;Aglaia elaeagnoidea;Calcaires de Koumac;;plot_100x100;12;2016;;20,2;13,6;0,89;;;;;;;;164,355251;-20,539273;
753;nc_pippn;NC066938;Meliaceae;Aglaia;Aglaia elaeagnoidea;Calcaires de Koumac;;plot_100x100;12;2016;;27,4;;0,83;;;;;;;;164,355251;-20,539273;
764;nc_pippn;NC067117;Meliaceae;Aglaia;Aglaia elaeagnoidea;Calcaires de Koumac;;plot_100x100;12;2016;;34,4;;0,92;;;;;;;;164,355251;-20,539273;
767;nc_pippn;NC067132;Meliaceae;Aglaia;Aglaia elaeagnoidea;Calcaires de Koumac;;plot_100x100;12;2016;;22,3;;0,86;;;;;;;;164,355251;-20,539273;
771;nc_pippn;NC067139;Meliaceae;Aglaia;Aglaia elaeagnoidea;Calcaires de Koumac;;plot_100x100;12;2016;;26,4;;0,85;;;;;;;;164,355251;-20,539273;
1762;nc_pippn;NC034096;Rubiaceae;Aidia;Aidia vieillardii;Gohapin Transect T2;;transect_20x120;5;2011;;10,8;;0,78;;;19,8;9;471,1;;4;165,254647;-21,187136;
1763;nc_pippn;NC034096;Rubiaceae;Aidia;Aidia vieillardii;Gohapin Transect T2;;transect_20x120;4;2018;;12,6;;0,78;;;19,8;9;471,1;;4;165,254647;-21,187136;
1764;nc_pippn;NC034097;Rubiaceae;Aidia;Aidia vieillardii;Gohapin Transect T2;;transect_20x120;4;2018;;13,1;;0,84;;;17;12,2;395,1;;3;165,254647;-21,187136;
1765;nc_pippn;NC034097;Rubiaceae;Aidia;Aidia vieillardii;Gohapin Transect T2;;transect_20x120;5;2011;;12,7;;0,84;;;17;12,2;395,1;;3;165,254647;-21,187136;
347;nc_pippn;NC048027;Cornaceae;Alangium;Alangium vitiense;Ateou;;plot_100x100;9;2013;;28;13,9;0,7;;;;;;;;164,920329;-20,950637;
367;nc_pippn;NC048087;Cornaceae;Alangium;Alangium vitiense;Ateou;;plot_100x100;9;2013;;19,7;17,2;0,73;;;;;;;;164,920329;-20,950637;
407;nc_pippn;NC048212;Cornaceae;Alangium;Alangium vitiense;Ateou;;plot_100x100;9;2013;Fruits;15,3;;0,71;;;;;;;;164,920329;-20,950637;
490;nc_pippn;NC048758;Cornaceae;Alangium;Alangium vitiense;Ateou;;plot_100x100;9;2013;Fleurs;15,9;;0,71;;;;;;;;164,920329;-20,950637;
522;nc_pippn;NC049004;Cornaceae;Alangium;Alangium vitiense;Ateou;;plot_100x100;9;2013;;20,7;;0,76;;;;;;;;164,920329;-20,950637;
;nc_pippn;NC068073;Cornaceae;Alangium;Alangium vitiense;Grand Lac;;plot_100x100;6;2023;;;;;;;17,3;8,1;415,1;;;166,903919;-22,274947;
;occ_gps;TF0065;Cornaceae;Alangium;Alangium vitiense;;Au pied du Mt Pouédihi;;7;2023;;20,1;;;;;24,4;10,8;387,8;;;166,702322;-22,171685;
;occ_gps;TF0109;Cornaceae;Alangium;Alangium vitiense;;Koghis;;8;2023;Boutons;29,6;;;;;25;9,5;379,5;;;166,509141;-22,17699;
1413;nc_pippn;FBA04642;Fabaceae;Albizia;Albizia guillainii;FBA_081_KP;;circle_R11,28;4;2018;;32,1;;0,64;;;0,8;9,1;514,3;;;164,929937;-21,040305;
1417;nc_pippn;FBA04773;Fabaceae;Albizia;Albizia guillainii;FBA_085_KP;;circle_R11,28;4;2018;;25,5;;0,61;;;0,6;10,1;453,2;;;164,92982;-21,035626;
1429;nc_pippn;FBA05073;Fabaceae;Albizia;Albizia guillainii;FBA_095_KP;;circle_R11,28;4;2018;;26,7;;0,67;;;;;;;;165,068845;-21,110924;
;nc_pippn;ADM1403;Fabaceae;Albizia;Albizia lebbeck;PMBT666;;circle_R11,28;5;2022;;25,5;;0,69;;;5,6;12,9;381,5;;;164,957306;-21,17116;projet admire pmbt
1409;nc_pippn;FBA04047;Fabaceae;Albizia;Albizia lebbeck;FBA_064_KP;;circle_R11,28;4;2018;;27,4;;0,61;;;5,6;20,8;359,1;;;164,937615;-21,08644;
;cirad_wdd;;Fabaceae;Albizia;Albizia lebbeck;;;;;;;;;0,56;0,2;40;;;;;;;;
1354;nc_pippn;FBA03368;Fabaceae;Albizia;Albizia saman;FBA_045_KP;;circle_R11,28;4;2018;;11,1;;0,43;;;9,4;21,7;374,5;;9;164,91968;-21,069016;
1357;nc_pippn;FBA03385;Fabaceae;Albizia;Albizia saman;FBA_046_KP;;circle_R11,28;4;2018;;10,5;;0,43;;;17,8;21,8;378,8;;7;164,919264;-21,068182;
1393;nc_pippn;FBA03659;Fabaceae;Albizia;Albizia saman;FBA_053_KP;;circle_R11,28;4;2018;;13,1;;0,51;;;7;15,9;440,4;;10;164,926724;-21,141743;
;nc_pippn;ADM0661;Sapindaceae;Alectryon;Alectryon carinatum;PMBT177;;circle_R11,28;5;2022;;5,7;;;;;18,4;7,4;568,7;;;164,955566;-21,170355;projet admire pmbt
1162;nc_pippn;FBA00777;Sapindaceae;Alectryon;Alectryon carinatum;FBA_010_KP;;circle_R11,28;3;2018;;36,6;9;0,89;;;;;;;11,5;164,956966;-21,16388;
1191;nc_pippn;FBA00887;Sapindaceae;Alectryon;Alectryon carinatum;FBA_013_KP;;circle_R11,28;3;2018;;22;11,3;0,92;;;16,9;12,8;480,3;;9;165,002584;-21,099302;
1299;nc_pippn;FBA01384;Sapindaceae;Alectryon;Alectryon carinatum;FBA_031_KP;;circle_R11,28;3;2018;;24,8;;0,9;;;6,1;12,9;460,2;;11;165,007827;-21,080858;
1337;nc_pippn;FBA03214;Sapindaceae;Alectryon;Alectryon carinatum;FBA_040_KP;;circle_R11,28;4;2018;;20,7;;0,78;;;21,7;13,6;373,2;;11;164,914051;-21,028205;
2125;nc_pippn;NC073287;Sapindaceae;Alectryon;Alectryon carinatum;Katalupaï;;plot_100x100;11;2017;;14,2;;0,92;;;30;9,2;466,7;;;165,008391;-20,852515;
;occ_gps;TF0101;Sapindaceae;Alectryon;Alectryon hirsutus;;Koghis;;8;2023;Fruits;17,2;;0,96;;;18,2;11,2;501,2;;;166,508177;-22,177646;
1685;nc_pippn;NC060258;Euphorbiaceae;Aleurites;Aleurites moluccana;Gohapin;;plot_100x100;3;2015;;34,5;;0,5;;;;;;;;165,240768;-21,257128;
1693;nc_pippn;NC060306;Euphorbiaceae;Aleurites;Aleurites moluccana;Gohapin;;plot_100x100;3;2015;;42,8;;0,46;;;;;;;;165,240768;-21,257128;
1706;nc_pippn;NC060478;Euphorbiaceae;Aleurites;Aleurites moluccana;Gohapin;;plot_100x100;3;2015;;53,5;;0,48;;;;;;;;165,240768;-21,257128;
1708;nc_pippn;NC060492;Euphorbiaceae;Aleurites;Aleurites moluccana;Gohapin;;plot_100x100;3;2015;;14,8;;0,41;;;;;;;;165,240768;-21,257128;
1718;nc_pippn;NC060556;Euphorbiaceae;Aleurites;Aleurites moluccana;Gohapin;;plot_100x100;3;2015;;14,5;12,2;0,43;;;;;;;;165,240768;-21,257128;
;cirad_wdd;;Euphorbiaceae;Aleurites;Aleurites moluccana;;;;;;;;;0,33;0,38;32;;;;;;;;
;cirad_wdd;;Euphorbiaceae;Aleurites;Aleurites moluccana;;;;;;;;;0,35;0,36;38;;;;;;;;
;cirad_wdd;;Euphorbiaceae;Aleurites;Aleurites moluccana;;;;;;;;;0,34;0,35;35;;;;;;;;
2868;nc_pippn;NC051127;Rhamnaceae;Alphitonia;Alphitonia neocaledonica;Tiwae;;plot_100x100;10;2013;;25,5;10,3;0,75;;;;;;;;165,133563;-20,814836;
2894;nc_pippn;NC051237;Rhamnaceae;Alphitonia;Alphitonia neocaledonica;Tiwae;;plot_100x100;10;2013;;25,8;12,2;0,75;;;;;;;;165,133563;-20,814836;
2937;nc_pippn;NC051429;Rhamnaceae;Alphitonia;Alphitonia neocaledonica;Tiwae;;plot_100x100;10;2013;;17,5;11;0,71;;;;;;;;165,133563;-20,814836;
2938;nc_pippn;NC051432;Rhamnaceae;Alphitonia;Alphitonia neocaledonica;Tiwae;;plot_100x100;10;2013;;26,1;;0,81;;;;;;;;165,133563;-20,814836;
2940;nc_pippn;NC051437;Rhamnaceae;Alphitonia;Alphitonia neocaledonica;Tiwae;;plot_100x100;10;2013;;16,2;;0,8;;;;;;;;165,133563;-20,814836;
1847;nc_pippn;NC068049;Rhamnaceae;Alphitonia;Alphitonia neocaledonica;Grand Lac;;plot_100x100;5;2016;;20,1;;0,71;;;;;;;;166,903919;-22,274947;
1848;nc_pippn;NC068052;Rhamnaceae;Alphitonia;Alphitonia neocaledonica;Grand Lac;;plot_100x100;5;2016;;14;;0,62;;;;;;;;166,903919;-22,274947;
;nc_pippn;NC068057;Rhamnaceae;Alphitonia;Alphitonia neocaledonica;Grand Lac;;plot_100x100;6;2023;;;;;;;30,5;4,3;513,2;;;166,903919;-22,274947;
1853;nc_pippn;NC068071;Rhamnaceae;Alphitonia;Alphitonia neocaledonica;Grand Lac;;plot_100x100;5;2016;;10,5;;0,57;;;;;;;;166,903919;-22,274947;
1910;nc_pippn;NC068288;Rhamnaceae;Alphitonia;Alphitonia neocaledonica;Grand Lac;;plot_100x100;5;2016;;11,3;;0,6;;;;;;;;166,903919;-22,274947;
1913;nc_pippn;NC068296;Rhamnaceae;Alphitonia;Alphitonia neocaledonica;Grand Lac;;plot_100x100;5;2016;;14,7;;0,61;;;;;;;;166,903919;-22,274947;
;nc_pippn;NC068300;Rhamnaceae;Alphitonia;Alphitonia neocaledonica;Grand Lac;;plot_100x100;6;2023;;;;;;;35,5;4,3;516,4;;;166,903919;-22,274947;
;cirad_wdd;;Rhamnaceae;Alphitonia;Alphitonia neocaledonica;;;;;;;;;0,58;0,33;36;;;;;;;;
;nc_pippn;ADM4774;Apocynaceae;Alstonia;Alstonia balansae;PMBT068;;circle_R11,28;5;2022;;16,2;;;;;57,1;8,3;347,7;;;164,961685;-21,176876;projet admire pmbt
1353;nc_pippn;FBA03333;Apocynaceae;Alstonia;Alstonia balansae;FBA_044_KP;;circle_R11,28;4;2018;;13,4;;0,75;;;72,4;10,3;305,2;;10;164,913596;-21,165002;
2827;nc_pippn;NC074190;Apocynaceae;Alstonia;Alstonia balansae;Tiebaghi;;plot_100x100;12;2018;Fleurs;15,6;;0,71;;;;;;;;164,226003;-20,431312;
2829;nc_pippn;NC074226;Apocynaceae;Alstonia;Alstonia balansae;Tiebaghi;;plot_100x100;12;2018;;15;;0,62;;;;;;;;164,226003;-20,431312;
2830;nc_pippn;NC074227;Apocynaceae;Alstonia;Alstonia balansae;Tiebaghi;;plot_100x100;12;2018;;25,8;;0,75;;;;;;;;164,226003;-20,431312;
2831;nc_pippn;NC074235;Apocynaceae;Alstonia;Alstonia balansae;Tiebaghi;;plot_100x100;12;2018;;14,4;;0,64;;;;;;;;164,226003;-20,431312;
2954;nc_pippn;NC051515;Apocynaceae;Alstonia;Alstonia costata;Tiwae;;plot_100x100;10;2013;;30,9;14,6;0,73;;;;;;;;165,133563;-20,814836;
2961;nc_pippn;NC051572;Apocynaceae;Alstonia;Alstonia costata;Tiwae;;plot_100x100;10;2013;;20,1;;0,7;;;;;;;;165,133563;-20,814836;
2991;nc_pippn;NC051771;Apocynaceae;Alstonia;Alstonia costata;Tiwae;;plot_100x100;10;2013;;28,6;;0,78;;;;;;;;165,133563;-20,814836;
3016;nc_pippn;NC051876;Apocynaceae;Alstonia;Alstonia costata;Tiwae;;plot_100x100;10;2013;;22,6;;0,71;;;;;;;;165,133563;-20,814836;
564;nc_pippn;NC053560;Apocynaceae;Alstonia;Alstonia costata;Bouirou;;plot_100x100;1;2014;;15;;0,69;;;;;;;;165,545395;-21,416931;
572;nc_pippn;NC053622;Apocynaceae;Alstonia;Alstonia costata;Bouirou;;plot_100x100;1;2014;;60,2;30,9;0,64;;;;;;;;165,545395;-21,416931;
582;nc_pippn;NC053698;Apocynaceae;Alstonia;Alstonia costata;Bouirou;;plot_100x100;1;2014;;42,8;23,7;0,64;;;;;;;;165,545395;-21,416931;
686;nc_pippn;NC054324;Apocynaceae;Alstonia;Alstonia costata;Bouirou;;plot_100x100;1;2014;;14;;0,72;;;;;;;;165,545395;-21,416931;
695;nc_pippn;NC054397;Apocynaceae;Alstonia;Alstonia costata;Bouirou;;plot_100x100;1;2014;;22;15,5;0,69;;;;;;;;165,545395;-21,416931;
2303;nc_pippn;KB00687;Apocynaceae;Alstonia;Alstonia lenormandii;KB35-100;;circle_R11,28;11;2021;;12,1;;0,68;;;15,6;4,7;410,5;;;166,964485;-22,228074;
;occ_gps;TF0186;Apocynaceae;Alstonia;Alstonia lenormandii;;Col de Prony;;3;2024;Fleurs;6,2;;;;;22,1;12;317,3;;;166,708093;-22,296773;
