ID espece;Nom scientifique;Nom verna;Famille;Habitat;Milieu_recolte;Statut;Type feuille;Forme feuille;Texture feuille;Type ecorce;Forme croissance;Inflammabilite presume;Latex;Genre;Espèce
46;Scaevola montana;;Goodeniaceae;MN;;Autochtone;Simple;Elliptique;Douce;Lisse;Arbuste;;non;Scaevola;montana
21;Scaevola taccada;Patte de poule;Goodeniaceae;G;G;Autochtone;Simple;Obovale;Douce;Lisse;Arbuste;Très faible;non;Scaevola;taccada
30;Hernandia cordigera;Bois bleu;Hernandiaceae;F;;Endemique;Simple;Oblongue;Coriace;Lisse;Arbre;Faible;non;Hernandia;cordigera
17;Barringtonia asiatica;Bonnet d'evêque;Lecythidaceae;GN;G;Autochtone;Simple;Obovale;Douce;Lisse;Arbre;Très faible;non;Barringtonia;asiatica
27;Neuburgia novocaledonica;Graine blanche;Loganiaceae;F;F;Autochtone;Simple;Obovale;Coriace;Lisse;Arbre;Très faible;non;Neuburgia;novocaledonica
19;Acropogon bullatus;;Malvaceae;FL;;Endemique;Simple;Cordiforme;Coriace;Lisse;Arbre;;non;Acropogon;bullatus
61;Commersonia bartramia;;Malvaceae;N;;Autochtone;;;;;;;non;Commersonia;bartramia
35;Hibiscus tiliaceus G;Bourao grande feuille;Malvaceae;GN;N;Autochtone;Simple;Cordiforme;Douce;Fissurée;Arbre;Faible;non;Hibiscus;tiliaceus
33;Hibiscus tiliaceus P;Bourao panaché;Malvaceae;GN;G;Autochtone;Simple;Cordiforme;Douce;Fissurée;Arbre;Faible;non;Hibiscus;tiliaceus
34;Hibiscus tiliaceus R;Bourao rouge;Malvaceae;GN;G;Autochtone;Simple;Cordiforme;Douce;Fissurée;Arbre;Faible;non;Hibiscus;tiliaceus
16;Hibiscus tiliaceus V;Bourao;Malvaceae;GN;;Autochtone;Simple;Cordiforme;Douce;Fissurée;Arbre;Très faible;non;Hibiscus;tiliaceus
56;Ficus fraseri;;Moraceae;LN;;Autochtone;;;;;;Faible;oui;Ficus;fraseri
25;Ficus habrophyla;;Moraceae;FL;F;Autochtone;Simple;Oblongue;Coriace;Lisse;Arbre;Faible;oui;Ficus;habrophyla
37;Myodocarpus fraxinifolius;;Myodocarpaceae;FM;F;Endemique;Composée;Imparipennée;Douce;Lisse;Arbre;Faible;non;Myodocarpus;fraxinifolius
9;Arillastrum gummiferum;Chêne gomme;Myrtaceae;FM;M;Endemique;Simple;Elliptique;Coriace;Fissurée;Arbre;Moyenne;non;Arillastrum;gummiferum
23;Melaleuca quinquenervia;Niaouli;Myrtaceae;MRS;;Autochtone;Simple;Lancéollée;Coriace;Papyracée;Arbre;Forte;non;Melaleuca;quinquenervia
11;Metrosideros laurifolia;Faux teck;Myrtaceae;FLM;M;Endemique;Simple;Lancéollée;Coriace;Fissurée;Arbuste;Faible;non;Metrosideros;laurifolia
15;Syzygium cumini;Jamelonier;Myrtaceae;I;I;Introduite;Simple;Oblongue;Douce;Fissurée;Arbre;Faible;non;Syzygium;cumini
57;Tristaniopsis calobuxus;;Myrtaceae;M;;Endemique;;;;;;;non;Tristaniopsis;calobuxus
12;Tristaniopsis glauca;;Myrtaceae;M;M;Endemique;Simple;Lancéollée;Douce;Lisse exfoliante en plaque;Arbuste;;non;Tristaniopsis;glauca
50;Glochidion billardierei;;Phyllantacceae;FLN;;Endemique;Simple;Oblongue;Coriace;Fissurée;Arbre;;non;Glochidion;billardierei
24;Pinus caribea;Pin des caraibes;Pinaceae; I;I;Introduite;Aiguille;Aiguille;Coriace;Ecailleuse;Arbre;Très forte;non;Pinus;caribea
4;Grevillea rubiginosa;Brosse à dents du Sud;Proteaceae;M;M;Endemique;Simple;Oblancéolée;Coriace;Fissurée;Arbuste;Forte;non;Grevillea;rubiginosa
3;Alphitonia neocaledonica;Bois savon;Rhamnaceae;FLM;M;Endemique;Simple;Elliptique;Coriace;Lisse;Arbuste;Forte;non;Alphitonia;neocaledonica
48;Crossostylis grandiflora;Palétuvier de montagne;Rhizophoraceae;F;F;Endemique;Simple;Elliptique;Coriace;Fissurée;Arbre;Très faible;non;Crossostylis;grandiflora
43;Gardenia urvillei;Tiaré de forêt sèche;Rubiaceae;LM;L;Endemique;Simple;Oblongue;Coriace;Lisse;Arbre;Faible;non;Gardenia;urvillei
69;Morinda citrifolia;Noni;Rubiaceae;FLMN;;Autochtone;;;;;;;non;Morinda;citrifolia
41;Acronychia laevis;Bolé;Rutaceae;LMN;L;Autochtone;Simple;Oblongue;Douce;Lisse;Arbre;Faible;non;Acronychia;laevis
14;Santalum austrocaledonicum;Santal;Santalaceae;FLMG;;Autochtone;Simple;Elliptique;Douce;Fissurée;Arbre;;non;Santalum;austrocaledonicum
26;Elattostachys apetala;Faux chêne blanc;Sapindaceae;FL;F;Autochtone;Composée;Paripennée;Douce;Lisse;Arbre;Moyenne;non;Elattostachys;apetala
32;Guioa villosa;;Sapindaceae;FM;M;Endemique;Composée;Imparipennée;Coriace;Lisse;Arbuste;Forte;non;Guioa;villosa
45;Lepidocupania arcuata;;Sapindaceae;FL;L;Endemique;Composée;Imparipennée;Douce;Lisse;Arbre;;non;Lepidocupania;arcuata
55;Wikstroemia indica;Sainbois;Thymelaeaceae;FLM;;Autochtone;;;;;;Faible;non;Wikstroemia;indica 
