"";"ID_echantillon";"ID_espece";"Date";"heure";"Lieu";"Longitude";"Latitude";"Remarques";"Nom.verna";"Nom_scientifique";"Famille";"Habitat";"Milieu_recolte";"Statut";"Type.feuille";"Forme.feuille";"Texture.feuille";"Type.ecorce";"Forme.croissance";"Inflammabilite.presume";"T_ambiante";"Vent";"Humidite";"T_grill";"DI";"DI_test";"MT";"temps_total";"BB";"BB_test";"remarque";"longeur";"largeur";"hauteur";"masse";"score_DI";"BT";"BT_test";"FI";"SD";"Masse_T_T0";"Masse_T_T24";"Masse_T_Tsec";"Longeur_T_cm";"diametre_T_1_mm";"diametre_T_2_mm";"Nb_ramifications";"Gmin";"TV";"TD";"TMC_t0";"TMC_t24";"TDMC";"TDIA";"ID_Feuille";"Masse_F_T0";"Masse_F_T24";"Masse_F_Tsec";"Surface_F";"LMC_t0";"LMC_t24";"PEF";"LDMC";"SLA";"LT"
"11";"01_3";1;"26-mars";"9h53";"IRD";166,442389;-22,300387;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;154;9;1;801,2;141;70;70;"";70;NA;NA;NA;9;20;20;1;NA;4,635;3,742;1,298;12,1;5,7;6,33;6;9,564029917;11,43;0,41;257,09;188,29;280,04;6,015;"01_3_1";1,132;0,974;0,478;45,447;136,820083682008;103,77;13,96;422,26;9507,74;44,41
"12";"01_3";1;"26-mars";"9h53";"IRD";166,442389;-22,300387;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;154;9;1;801,2;141;70;70;"";70;NA;NA;NA;9;20;20;1;NA;4,635;3,742;1,298;12,1;5,7;6,33;6;9,564029917;11,43;0,41;257,09;188,29;280,04;6,015;"01_3_2";1,752;1,569;0,601;71,987;191,514143094842;161,06;10,45;343,04;11977,87;28,64
"13";"01_3";1;"26-mars";"9h53";"IRD";166,442389;-22,300387;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;154;9;1;801,2;141;70;70;"";70;NA;NA;NA;9;20;20;1;NA;4,635;3,742;1,298;12,1;5,7;6,33;6;9,564029917;11,43;0,41;257,09;188,29;280,04;6,015;"01_3_3";1,205;1,127;0,439;55,244;174,487471526196;156,72;6,47;364,32;12584,05;28,95
"14";"01_3";1;"26-mars";"9h53";"IRD";166,442389;-22,300387;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;154;9;1;801,2;141;70;70;"";70;NA;NA;NA;9;20;20;1;NA;4,635;3,742;1,298;12,1;5,7;6,33;6;9,564029917;11,43;0,41;257,09;188,29;280,04;6,015;"01_3_4";1,252;1,085;0,444;51,222;181,981981981982;144,37;13,34;354,63;11536,49;30,74
"15";"01_3";1;"26-mars";"9h53";"IRD";166,442389;-22,300387;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;154;9;1;801,2;141;70;70;"";70;NA;NA;NA;9;20;20;1;NA;4,635;3,742;1,298;12,1;5,7;6,33;6;9,564029917;11,43;0,41;257,09;188,29;280,04;6,015;"01_3_5";1,353;1,168;0,465;56,281;190,967741935484;151,18;13,67;343,68;12103,44;28,4
"16";"01_4";1;"26-mars";"10h03";"IRD";166,442372;-22,300263;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;156,2;9;1;705;141;75;75;"";70;NA;NA;NA;9;20;20;1;NA;4,812;4,32;1,948;13,2;5,9;6,61;6;5,912571598;12,97;0,37;147,02;121,77;404,82;6,255;"01_4_1";0,445;0,4;0,17;20,173;161,764705882353;135,29;10,11;382,02;11866,47;32,19
"17";"01_4";1;"26-mars";"10h03";"IRD";166,442372;-22,300263;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;156,2;9;1;705;141;75;75;"";70;NA;NA;NA;9;20;20;1;NA;4,812;4,32;1,948;13,2;5,9;6,61;6;5,912571598;12,97;0,37;147,02;121,77;404,82;6,255;"01_4_2";1,081;0,982;0,416;44,478;159,855769230769;136,06;9,16;384,83;10691,83;35,99
"18";"01_4";1;"26-mars";"10h03";"IRD";166,442372;-22,300263;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;156,2;9;1;705;141;75;75;"";70;NA;NA;NA;9;20;20;1;NA;4,812;4,32;1,948;13,2;5,9;6,61;6;5,912571598;12,97;0,37;147,02;121,77;404,82;6,255;"01_4_3";2,073;1,867;0,767;86,573;170,273794002608;143,42;9,94;370;11287,22;32,78
"19";"01_4";1;"26-mars";"10h03";"IRD";166,442372;-22,300263;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;156,2;9;1;705;141;75;75;"";70;NA;NA;NA;9;20;20;1;NA;4,812;4,32;1,948;13,2;5,9;6,61;6;5,912571598;12,97;0,37;147,02;121,77;404,82;6,255;"01_4_4";1,734;1,573;0,632;76,02;174,367088607595;148,89;9,28;364,48;12028,48;30,3
"20";"01_4";1;"26-mars";"10h03";"IRD";166,442372;-22,300263;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;156,2;9;1;705;141;75;75;"";70;NA;NA;NA;9;20;20;1;NA;4,812;4,32;1,948;13,2;5,9;6,61;6;5,912571598;12,97;0,37;147,02;121,77;404,82;6,255;"01_4_5";1,115;0,978;0,388;50,557;187,371134020619;152,06;12,29;347,98;13030,15;26,71
