"";"ID_echantillon";"T_ambiante";"Vent";"Humidite";"T_grill";"DI";"DI_test";"MT";"temps_total";"BB";"BB_test";"remarque";"longeur";"largeur";"hauteur";"masse";"score_DI";"BT";"BT_test";"SD"
"250";"42_4";27,4;1,4;75;187,5;9;1;692,7;133;15;15;"";70;90;31;175;9;12;12;1,71
"252";"42_6";27,4;1,4;75;179;9;1;397,9;133;10;10;"";70;94;21;100;9;12;12;1,38
"253";"43_1";27,4;1,4;75;167,7;9;1;669,6;182;65;65;"branche avec fruits";70;59;20;375;9;61;61;8,67
"254";"43_2";27,4;1,4;75;172;9,5;0,5;700,4;155;60;60;"";70;78;54;150;9,5;34;34;0,97
"255";"43_3";27,4;1,4;75;188,5;9,5;0,5;585,9;138;65;65;"";70;100;28;125;9,5;18;18;1,22
"256";"43_4";27,4;1,4;75;176,1;9,5;0,5;743,4;159;50;50;"";70;104;31;200;9,5;38;38;1,69
"257";"43_5";27,4;1,4;75;170,7;9;1;635,1;133;15;15;"";70;70;16;100;9;12;12;2,44
"258";"43_6";27,4;1,4;75;181,3;9,5;0,5;632,3;206;70;70;"";70;70;33;125;9,5;86;86;1,48
"260";"44_2";25,7;1,2;76,8;169,3;9,5;0,5;713,9;139;45;45;"";70;23;7;5;9,5;18;18;0,85
"261";"44_3";25,7;1,2;76,8;183,6;9;1;595,2;152;15;15;"";70;50;6;25;9;31;31;2,27
"262";"44_4";25,7;1,2;76,8;166;9;1;688,3;142;45;45;"";70;31;12;25;9;21;21;1,83
"263";"44_5";25,7;1,2;76,8;177,6;9;1;613,9;145;40;40;"Chalumeau faible";70;29;8;25;9;24;24;2,94
"264";"44_6";25,7;1,2;76,8;184;9;1;665,9;137;20;20;"Chalumeau faible";70;66;40;25;9;16;16;0,26
"265";"45_1";25,7;1,2;76,8;190,8;9;1;752,3;165;90;90;"";70;63;20;100;9;44;44;2,17
"266";"45_2";25,7;1,2;76,8;187;8,5;1,5;751,9;150;25;25;"Chalumeau faible";70;50;35;100;8,5;28;28;1,56
"267";"45_3";25,7;1,2;76,8;176,6;8,5;1,5;798,4;144;30;30;"";70;59;21;125;8,5;22;22;2,75
"268";"45_4";25,7;1,2;76,8;183,6;9;1;848;150;80;80;"";70;34;26;100;9;29;29;3,09
"269";"45_5";25,7;1,2;76,8;183;9;1;666,2;143;25;25;"";70;60;17;75;9;22;22;2,01
"270";"45_6";25,7;1,2;76,8;196,8;8;2;840,9;152;90;90;"feuilles déjà seches dessus";70;62;29;100;8;30;30;1,52
"271";"46_1";24,1;2,4;64,2;159,5;9,5;0,5;649,1;137;35;35;"changement gaz";70;48;30;150;9,5;16;16;2,84
"272";"46_2";24,1;2,4;64,2;164;9,5;0,5;564,2;146;30;30;"";70;57;38;150;9,5;26;26;1,89
"273";"46_3";24,1;2,4;64,2;178,4;9,5;0,5;505,4;137;40;40;"";70;63;26;100;9,5;16;16;1,67
"274";"46_4";24,1;2,4;64,2;173,7;9,5;0,5;674,2;145;30;30;"";70;80;34;200;9,5;24;24;2,01
"276";"46_6";24,1;2,4;64,2;186;9,5;0,5;739,3;137;40;40;"";70;71;19;50;9,5;16;16;1,01
"277";"47_1";24,1;2,4;64,2;186,1;9,5;0,5;603;151;30;30;"";70;66;5;125;9,5;30;30;10,33
"278";"47_2";24,1;2,4;64,2;187;8,5;1,5;508,4;144;55;55;"";70;50;14;75;8,5;22;22;2,92
"279";"47_3";24,1;2,4;64,2;193,6;9;1;642,5;152;40;40;"";70;50;5;100;9;31;31;10,91
"280";"47_4";24,1;2,4;64,2;186,5;8;2;690,8;140;20;20;"";70;57;12;125;8;18;18;4,99
"281";"47_5";24,1;2,4;64,2;172,1;9;1;739,5;137;30;30;"";70;48;7;75;9;16;16;6,09
"282";"47_6";24,1;2,4;64,2;152;9;1;459;145;20;20;"";70;49;4;125;9;24;24;17,4
"283";"48_1";29,5;5;59,9;183,1;9;1;694;140;45;45;"";70;37;5;125;9;19;19;18,43
"284";"48_2";29,5;5;59,9;167,7;9;1;587,5;131;15;15;"";70;28;17;100;9;10;10;5,73
"285";"48_3";29,5;5;59,9;159;9;1;640,6;155;25;25;"";70;NA;NA;NA;9;34;34;NA
"286";"48_4";29,5;5;59,9;171,1;8,5;1,5;630,6;139;30;30;"";70;41;10;125;8,5;18;18;8,32
"287";"48_5";29,5;5;59,9;162,5;9;1;711;144;50;50;"";70;47;10;150;9;23;23;8,71
"288";"48_6";29,5;5;59,9;168,1;9;1;677;138;90;90;"";70;54;9;100;9;17;17;5,61
"289";"49_1";29,5;5;59,9;168,4;9;1;813,1;145;85;85;"";70;40;14;125;9;24;24;6,09
"290";"49_2";29,5;5;59,9;157,8;9,5;0,5;750,3;153;75;75;"";70;63;17;225;9,5;32;32;5,73
"291";"49_3";29,5;5;59,9;167,2;9;1;781,9;147;70;70;"";70;74;15;125;9;26;26;3,07
"292";"49_4";29,5;5;59,9;164,4;9;1;702,1;147;30;30;"";70;72;7;75;9;26;26;4,06
"293";"49_5";29,5;5;59,9;157;9;1;738,6;174;65;65;"";70;69;36;175;9;53;53;1,92
"294";"49_6";29,5;5;59,9;175,9;9;1;702;165;95;95;"";70;58;8;75;9;44;44;4,41
"295";"50_1";29,5;5;59,9;163,3;9,5;0,5;816,2;150;90;90;"";70;35;19;50;9,5;30;30;2,05
"296";"50_2";29,5;5;59,9;183,8;9;1;697,5;150;50;50;"";70;40;17;75;9;29;29;3,01
"297";"50_3";29,5;5;59,9;166,2;9,5;0,5;658,1;141;85;85;"";70;40;12;50;9,5;20;20;2,84
"298";"50_4";29,5;5;59,9;178,9;9;1;848,2;147;80;80;"";70;50;22;125;9;26;26;3,1
"299";"50_5";29,5;5;59,9;181,6;9;1;763,2;143;95;95;"";70;33;15;75;9;22;22;4,13
"300";"50_6";29,5;5;59,9;165;9;1;638,5;149;75;75;"";70;49;36;75;9;28;28;1,16
"301";"51_1";29,5;5;59,9;194,6;9;1;536,4;134;15;15;"";70;68;7;150;9;13;13;8,6
"302";"51_2";29,5;5;59,9;172,8;9;1;736,3;141;30;30;"";70;45;18;125;9;20;20;4,21
"303";"51_3";29,5;5;59,9;185,9;9;1;552,4;151;60;60;"";70;45;5;100;9;30;30;12,13
"304";"51_4";29,5;5;59,9;179,6;9;1;717,8;147;60;60;"";70;32;5;50;9;26;26;8,53
"305";"51_5";29,5;5;59,9;168,2;9,5;0,5;791,9;131;40;40;"";70;32;5;75;9,5;10;10;12,79
"306";"51_6";29,5;5;59,9;190;9;1;712,4;139;30;30;"";70;40;5;100;9;18;18;13,64
"307";"52_1";29,5;5;59,9;170,5;9,5;0,5;628;149;80;80;"";70;77;19;25;9,5;28;28;0,47
"308";"52_2";29,5;5;59,9;177,6;9,5;0,5;709;145;85;85;"";70;61;23;25;9,5;24;24;0,49
"309";"52_3";29,5;5;59,9;168,7;9,5;0,5;597,4;143;35;35;"";70;50;7;25;9,5;22;22;1,95
"310";"52_4";29,5;5;59,9;169,9;9,5;0,5;593;138;45;45;"pas de vidéo";70;80;14;25;9,5;18;18;0,61
"311";"52_5";29,5;5;59,9;165,8;9,5;0,5;667,1;140;50;50;"";70;51;5;10;9,5;20;20;1,07
"312";"52_6";29,5;5;59,9;173,7;9,5;0,5;544;141;25;25;"";70;74;18;25;9,5;20;20;0,51
"313";"53_1";26,1;0;77,4;169,5;9,5;0,5;811,3;136;40;40;"";70;50;16;125;9,5;16;16;4,26
"314";"53_2";26,1;2;77,4;186,4;9,5;0,5;737,9;135;45;45;"";70;72;16;100;9,5;14;14;2,37
"315";"53_3";26,1;2;77,4;167,9;9,5;0,5;710,4;139;90;90;"";70;36;21;25;9,5;18;18;0,9
"316";"53_4";26,1;0;77,4;199,2;9,5;0,5;665,4;143;60;60;"";70;54;17;50;9,5;22;22;1,49
"317";"53_5";26,1;0;77,4;150,4;9,5;0,5;677;131;45;45;"";70;50;16;75;9,5;10;10;2,56
"318";"53_6";26,1;2;77,4;194,2;9,5;0,5;601,4;150;65;65;"pas de feuiles presque";70;61;38;75;9,5;30;30;0,88
"319";"54_1";26,1;0;77,4;164,8;9,5;0,5;637,7;139;70;70;"";70;36;18;25;9,5;18;18;1,05
"320";"54_2";26,1;0;77,4;169,6;9,5;0,5;641,6;149;85;85;"";70;45;12;75;9,5;28;28;3,79
"321";"54_3";26,1;2;77,4;150;9,5;0,5;710,6;151;80;80;"";70;72;17;50;9,5;30;30;1,11
"322";"54_4";26,1;2;77,4;182,2;9,5;0,5;710,4;150;95;95;"";70;54;21;100;9,5;30;30;2,41
"323";"54_5";26,1;2;77,4;156,6;9,5;0,5;640;163;80;80;"";70;57;18;50;9,5;42;42;1,33
"324";"54_6";26,1;2;77,4;186,6;9,5;0,5;630,5;137;80;80;"";70;62;35;100;9,5;16;16;1,26
