"";"Nom_scientifique";"ID_espece";"Milieu_recolte";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"Nb_ramifications";"SD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT"
"26";"Ficus habrophyla";25;"F";26,4;4;67,1;8,92;1,08;8,92;24,5;24,5;685,33;48,33;48,33;0,83;7,17;192,74;176,03;342,03;0,86;16,54;21,47;181,89;120,59;22,31;359,99;401,3;9743,38;0,04
"27";"Gardenia urvillei";43;"L";27,4;1,4;75;9,33;0,67;9,33;41,5;41,5;661,12;54,17;54,17;8,5;2,74;62,79;50,48;615,59;0,61;10,34;10,17;156,9;99,18;22,9;391,85;13,42;11969,04;0,03
"28";"Geissois pruinosa";6;"M";31,8;4,2;54,9;8,33;1,67;8,33;75,17;75,17;789,67;69,17;69,17;3,33;9,46;94,71;82,19;513,81;0,76;14,33;22,92;158,28;102,34;22,05;391,94;35,44;5882,93;0,07
"29";"Geissois racemosa";49;"F";29,5;5;59,9;9,08;0,92;9,08;34,17;34,17;748;70;70;1;4,21;114,23;103,96;494,6;0,74;13,77;43,79;169,52;99,4;25,85;373,56;118,54;9843,28;0,04
"30";"Glochidion billardierei";50;"F";29,5;5;59,9;9,17;0,83;9,17;25,83;25,83;736,95;79,17;79,17;10;2,71;133,25;122,91;431,26;0,58;11,87;97,76;135,07;41,21;39,71;429,1;18,73;8681,63;0,05
"31";"Grevillea rubiginosa";4;"M";31,8;4,2;54,9;8,33;1,67;8,33;68,67;68,67;750,45;55,83;55,83;11,83;2,94;75,33;63,42;571,11;0,75;13,48;76,2;100,88;17,66;41,24;500,52;15,56;4484,81;0,11
"32";"guioa villosa";32;"M";27,4;1,2;70,9;9,25;0,75;9,25;36;36;759;84,17;84,17;6,5;4,2;71,57;56,55;583,41;0,44;8,05;23,35;103,96;60,7;21,25;492,52;3,52;6772,88;0,08
"33";"Hernandia cordigera";30;"F";27,4;1,2;70,9;9;1;9;17,8;17,8;671,2;15;15;2,5;7,84;234,5;212,36;299,43;0,84;18,7;9,36;209,34;176,3;10,8;325,22;83,01;6950,62;0,05
"34";"Hibbertia lucens";10;"M";28,32;2,25;77,32;9,08;0,92;9,08;43;43;796,5;60,83;60,83;9,5;4,72;96,72;77,7;508,9;1,02;11,97;54,32;200,95;75,89;42,28;337,08;8,81;7140,33;0,05
"35";"Hibiscus tiliaceus G";35;"N";28,3;2,33;75,1;9,17;0,83;9,17;28,83;28,83;740,17;81,67;81,67;0,67;6,3;203,12;186,36;339,44;0,64;13,34;21,53;214,91;117,47;31,57;321,99;601,92;15059;0,02
"36";"Hibiscus tiliaceus P";33;"G";28,3;2,17;75,1;8,92;1,08;8,92;36,83;36,83;727,72;63,33;63,33;3;5,04;169,84;149,64;381,11;0,61;12,56;13,32;213,64;132,51;25,8;327,33;172,44;15602,69;0,02
"37";"Hibiscus tiliaceus R";34;"N";27,43;1,9;75,67;9,33;0,67;9,33;28,33;28,33;720,57;64,17;64,17;2,33;5,53;194,73;173,56;354,34;0,52;12,19;14,91;201,67;120,59;26,64;333,94;168,58;14767;0,02
"38";"Hibiscus tiliaceus V";16;"G";28,5;3,2;68,1;9;1;9;42,33;42,33;719,02;75,83;75,83;5,17;4,49;150,34;133,44;401,54;0,62;12,61;16,77;193,64;101,04;31,84;343,89;152,2;12588,61;0,03
"39";"Lepidocupania arcuata";45;"L";25,7;1,2;76,8;8,67;1,33;8,67;29,17;29,17;776,28;56,67;56,67;8;2,18;71,54;59,47;585,69;0,57;9,78;28,58;92,47;22,02;36,58;519,91;20,82;7356,09;0,07
"40";"Leucaena leucocephala";18;"L";26,3;1,5;81,7;9,5;0,5;9,5;27;27;655,27;76,67;76,67;16,33;2,67;117,83;98,35;465,02;0,51;11,75;77,66;284,62;24,06;66,45;277,47;0,25;24114,61;0,01
"41";"Mangifera indica";1;"N";30,2;5,7;75,1;8,83;1,17;8,83;19,33;19,33;758,95;57,5;57,5;7;NA;155,04;128,28;403,6;0,4;7,02;7,93;152,52;119,4;13,28;404,54;56,68;10427,61;0,04
"42";"Melaleuca quinquenervia";23;"R";28,1;3;70,3;9,25;0,75;9,25;63,17;63,17;780,03;68,33;68,33;10,33;3,27;125,17;100,82;446,79;0,64;12,88;26,82;120,4;64,96;25,1;455,23;10,01;4900,4;0,09
"43";"Metrosideros laurifolia";11;"M";28,32;2,67;77,32;7,83;2,17;7,83;56,5;56,5;681,17;26,67;26,67;7,17;6,67;78,63;66,55;561,32;1,06;15,79;20,83;137,43;106,02;13,34;422,94;54,02;3766,4;0,11
"44";"Myodocarpus fraxinifolius";37;"F";26,6;1,5;65,3;9,42;0,58;9,42;68;68;782,48;91,67;91,67;0,5;8,08;103,27;90,48;496,1;0,76;15,36;17,39;140,79;91,27;20,68;417,65;21,3;8031,59;0,05
