"";"ID_echantillon";"DI";"BT";"MT";"BB";"Nb_ramifications";"SV";"SD";"TMC_t0";"TMC_t24";"PET";"TDMC";"TD";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT"
"79";"14_1";9;20;632;75;15;0,03;2,59;99,02;489,43;-196,16;502,46;0,52;45;274,58;186,39;23,55;267,04;11,61;11616,32;0,02
"80";"14_2";9,5;30;705;50;9;0,03;5;73,62;49,54;13,87;575,96;0,36;11,77;236,63;167,43;20,63;297,66;7,67;8663,29;0,03
"81";"14_3";9;20;590,3;45;9;0,04;1,39;97,96;77,49;10,34;505,15;0,46;16,51;247,98;143,31;29,79;287,73;10,27;10945,08;0,03
"82";"14_4";9;14;449;5;12;0,04;4,76;84,06;60,47;12,81;543,31;0,62;19,9;177,71;103,95;26,61;360,3;6,96;8819,58;0,04
"83";"14_5";9;53;671,2;30;9;0,06;2,63;81,38;59,79;11,91;551,32;0,67;36,39;257,77;178,97;21,89;279,78;8,46;8414,46;0,03
"84";"14_6";8;33;574,1;15;14;0,05;2,5;94,56;74,14;10,5;513,97;0,57;23,4;209,72;117,7;29,66;324,22;5,42;12180,13;0,03
"85";"15_1";9,5;34;678,4;85;3;0,06;1,92;104,06;81,29;11,16;490,05;0,41;9,92;174,55;136,3;13,91;364,41;72,66;9944,57;0,04
"86";"15_2";9,5;20;823,6;70;8;0,06;3,02;109,2;89,42;9,46;478,01;0,61;14,9;212,11;177,34;11,09;321,78;77,84;12015,2;0,03
"87";"15_3";9;37;687;30;2;0,04;1,79;128,76;97,57;13,64;437,14;0,39;9,2;204,81;156,14;15,92;328,29;62,44;12133,99;0,03
"88";"15_4";9,5;26;716;85;5;0,04;4,29;109,67;78,42;14,91;476,93;0,35;24,76;137,41;113,09;10,33;422,65;93,39;7699,41;0,06
"89";"15_5";9,5;16;660,3;65;3;0,03;4,31;110,64;76,33;16,29;474,74;0,32;26,29;157,6;130,3;10,69;388,94;61,67;8485,8;0,05
"90";"15_6";9,5;22;785,6;45;6;0,05;4,35;126,94;94,24;14,41;440,65;0,49;4,87;200,5;165,45;11,66;333,1;57,36;11104,66;0,03
"91";"16_1";9,5;30;708,5;75;3;0,04;3,38;164,06;148,57;5,87;378,7;0,51;25,54;186,28;63,1;42,92;351,09;172,35;12611,67;0,03
"92";"16_2";9,5;74;736,4;65;7;0,05;4,9;134,78;117,59;7,32;425,92;0,69;22,43;197,36;96,96;34,88;339,54;118,6;12174,69;0,03
"93";"16_3";9,5;32;689,8;65;5;0,03;5,36;181,2;164,48;5,94;355,62;0,65;10,85;185,43;106,75;27,96;351,43;188,38;12091,53;0,03
"94";"16_4";9,5;40;687,4;85;5;0,03;6,03;126,4;105,11;9,4;441,69;0,77;10,1;173,13;109,37;23,46;366,28;138,46;11026,95;0,03
"95";"16_5";9;48;785,8;70;4;0,03;4,81;144,04;130,18;5,68;409,76;0,51;13,33;214,48;128,33;26,71;325,03;156,95;14758,67;0,02
"96";"16_6";9;32;706,2;85;7;0,05;2,55;151,54;134,7;6,69;397,56;0,56;18,37;205,14;101,75;35,13;329,97;138,48;12868,14;0,03
"97";"17_1";0;0;150;0;1;0,08;4,57;232,93;216,04;5,07;300,37;0,9;3,33;367,14;341,21;5,54;214,77;408,95;10756,69;0,02
"98";"17_2";6;9;218;3;4;0,08;6,73;175,7;167,64;2,92;362,72;1,03;1,91;337,16;319,44;4,05;228,92;369,47;9720,18;0,02
"99";"17_3";5;13;506,3;5;1;0,09;3,45;292,98;274,07;4,81;254,47;0,65;7,49;350,89;330,61;4,51;222,05;318,75;11078,07;0,02
"100";"17_4";8;17;498,9;10;2;0,08;5,62;212,91;187,33;8,18;319,58;0,9;1,56;320,94;304,25;3,96;238,27;392,19;9356,36;0,03
"101";"17_5";0;0;150;0;4;0,07;5,36;179,91;147,29;11,65;357,25;0,88;2,75;287,51;270,47;4,43;258,37;363,71;8175,33;0,03
"102";"17_6";7;21;467,3;10;0;0,07;3,82;200,57;169,89;10,21;332,7;0,71;2,55;281,14;261,98;5,03;263,12;409,41;8130,49;0,03
"103";"18_1";9,5;20;587,6;65;21;0,03;4,46;134,34;113,33;8,97;426,73;0,53;67,91;450;50;72,73;181,82;0,27;33975;0,01
"104";"18_2";9,5;24;651,3;90;22;0,03;3,45;138,75;117,95;8,71;418,84;0,56;86,93;333,33;16,67;73,08;230,77;0,31;25700;0,01
"105";"18_3";9,5;24;597,5;95;18;0,02;3,26;139,49;115,97;9,82;417,55;0,42;72,66;257,14;28,57;64;280;0,3;21485,71;0,01
"106";"18_4";9,5;28;734,2;80;12;0,05;1,42;79,3;69,88;5,26;557,72;0,58;66,4;140;6,67;55,56;416,67;0,16;21946,67;0,02
"107";"18_5";9,5;28;672,6;55;13;0,01;1,92;123,37;93,12;13,54;447,7;0,35;92,18;300;33,33;66,67;250;0,29;23816,67;0,01
"108";"18_6";9,5;38;688,4;75;12;0,06;1,56;91,73;79,83;6,2;521,57;0,6;79,91;227,27;9,09;66,67;305,56;0,2;17763,64;0,02
"109";"19_1";7;104;788,4;85;1;0,03;11,72;138,03;125,2;5,39;420,12;1,01;3,25;147,4;125,5;8,8;406,49;224,04;6378,17;0,06
"110";"19_2";0;0;150;0;0;0,04;6,25;155,8;141,98;5,4;390,93;0,62;8,1;180,98;155,73;9,09;358,74;199,89;8157,53;0,04
"111";"19_3";0;0;150;0;1;0,05;8,15;129,47;117,22;5,34;435,79;0,98;2,82;181,05;157,36;8,58;357,66;158,25;8824,51;0,04
"112";"19_4";7;13;514;5;4;0,03;14,66;134,96;116,23;7,97;425,61;1,12;3,07;174,29;147,19;10,01;367,56;205,03;7815,75;0,05
"113";"19_5";8,5;24;642,4;5;1;0,06;10,89;182,65;154,52;9,95;353,79;1,1;18,04;185,41;158,46;9,51;351,61;139,97;8092,03;0,04
"114";"19_6";6;13;539,9;5;3;0,04;13,07;161,26;141,88;7,42;382,76;1,08;4,11;195,94;157,59;12,8;339,08;120,05;9847,8;0,04
"115";"20_1";7;15;462,6;15;2;0,06;3,69;78,08;72,97;2,87;561,54;0,76;5;270,18;242,08;7,6;270,17;79,75;13358,4;0,02
"116";"20_2";9;31;713;15;5;0,04;8,93;271,73;251,36;5,48;269,01;0,8;2,56;294,59;249,38;11,44;253,49;73,53;16517,42;0,02
"117";"20_3";9;17;386,2;10;3;0,06;5,7;276,06;257,75;4,87;265,92;0,7;3,03;260,23;232,25;7,74;281,89;39,55;12362,67;0,02
"118";"20_4";0;0;150;0;6;0,09;4,17;288,3;268,32;5,14;257,53;0,9;2,13;299,57;274,81;6,2;250,48;81,02;14113,43;0,02
"119";"20_5";0;0;150;0;3;0,04;4,07;183,61;156,04;9,72;352,6;0,53;1,95;291,87;267,72;6,17;255,87;61,94;15053,47;0,02
"120";"20_6";9;14;685,6;15;1;0,05;5,98;243,03;202,54;11,8;291,52;0,79;2,11;272,24;243,48;7,68;269,22;74,27;11582,09;0,02
"121";"21_1";0;0;150;0;12;0,03;10,71;221,79;201,63;6,27;310,76;0,64;12,19;838,77;748,79;9,5;108,35;45,81;18214,61;0,01
"122";"21_2";7;13;426,2;1;2;0,02;9,09;213,49;195,54;5,73;318,99;0,56;10,65;862,74;775,08;9,28;109,47;56,83;15082,85;0,01
"123";"21_3";0;0;150;0;4;0,06;5,17;276,48;253,83;6,02;265,62;0,68;13,16;815,85;717,51;10,86;110,04;38,7;14888,29;0,01
"124";"21_4";0;0;150;0;2;0,01;12,5;214,62;193,5;6,71;317,84;0,6;13,26;715,55;592,24;15,12;122,63;53,61;22711,19;0,01
"125";"21_5";0;0;150;0;2;0,02;13,89;260,54;239,06;5,96;277,36;0,6;25,69;643,23;538,93;14,03;134,71;36,26;15373,7;0,01
"126";"21_6";0;0;150;0;2;0,01;16,67;275,62;232,8;11,4;266,22;0,82;12,09;774,4;669,17;11,99;114,42;61,32;16612,83;0,01
"127";"22_1";9,5;46;656,2;75;15;0,06;3,12;61,38;54,01;4,57;619,67;0,64;6,13;244,91;186,9;16,63;292,24;6,55;9853,23;0,03
"128";"22_2";9,5;130;615;60;11;0,08;3,4;71,61;53,05;10,81;582,73;0,64;9,07;189,37;128,65;21,13;358,73;8,52;8664;0,05
"129";"22_3";9,5;66;785,7;60;15;0,08;5,18;72,24;54,6;10,24;580,6;0,67;6,63;236,91;189,37;15,07;303,15;8,58;11325,42;0,03
"130";"22_4";9,5;48;657,7;65;13;0,09;1,97;75,88;61,31;8,29;568,56;0,56;14,24;182,92;136;16,55;356,58;8,72;8580,03;0,04
"131";"22_5";9,5;20;648;35;12;0,05;2,55;83,64;67,48;8,8;544,54;0,51;10,1;240,55;167,14;21,46;295,53;5,35;12639,47;0,02
"132";"22_6";9;19;576,2;45;14;0,07;2,27;82,44;67,41;8,24;548,12;0,53;25,13;264,44;171,03;25,38;275,08;8,87;10907,81;0,03
"133";"23_1";9;62;759,2;80;7;0,04;3,33;134,63;103,94;13,08;426,2;0,64;39,41;104,44;62,63;20,5;490,23;11,38;4010,93;0,12
"134";"23_2";9,5;74;794,6;55;13;0,06;4,39;124,7;90,86;15,06;445,04;0,63;17,41;125,3;76,22;21,83;444,87;6,82;5402,18;0,08
"135";"23_3";9;56;798;65;12;0,1;2,04;94,16;71,48;11,68;515,04;0,74;31,03;120,46;45,48;34,05;453,65;6,21;4760,94;0,1
"136";"23_4";9,5;56;790,6;85;14;0,08;2,78;120,31;100,48;9;453,91;0,6;33,4;124,23;54,66;31,13;446,48;12,46;5156;0,09
"137";"23_5";9;71;741,6;60;10;0,13;1,87;125,88;106,69;8,49;442,72;0,74;18,85;135,91;77,9;24,6;424,46;10,28;5448,17;0,08
"138";"23_6";9,5;60;796,2;50;6;0,03;5,17;151,37;131,47;7,92;397,82;0,52;20,8;112,06;72,85;18,48;471,67;12,9;4624,19;0,1
"139";"24_1";9,5;162;938;90;1;0,02;9,38;89,06;78,67;5,49;528,95;0,71;5,78;124,33;124,33;0;445,98;5,47;8217,84;0,06
"140";"24_2";9,5;50;934,7;50;2;0,04;5,56;90,12;79,11;5,79;525,98;0,73;12,05;150,37;137,76;4,96;399,73;4,29;8365,5;0,05
"141";"24_3";9,5;166;953,5;95;0;0,04;11,88;101,47;95,42;3;496,35;0,81;12,7;116,6;103,19;6,18;461,78;4,95;7474,37;0,06
"142";"24_4";9,5;94;772,7;95;11;0,02;7,61;76,91;69,92;3,95;565,27;0,55;6,06;118,21;96,41;9,92;458,57;3,55;7566,95;0,06
"143";"24_5";9,5;70;870,9;50;9;0,08;5,94;83,44;75,99;4,06;545,15;0,81;10,67;137,88;122,4;6,47;423,33;5,82;7281,61;0,06
"144";"24_6";9,5;78;942,2;90;4;0,04;7,69;77,39;70,03;4,15;563,72;0,65;10,69;129,06;97,09;14,1;437,22;5,37;6855,33;0,06
"145";"25_1";9;33;704,5;50;3;0,04;7,93;203,78;190,24;4,46;329,18;0,95;17,07;168,3;98,86;25,82;372,86;327,69;8415,4;0,04
"146";"25_2";9;25;623,4;95;0;0,04;3,89;192,21;180,56;3,98;342,22;0,96;42,76;143,77;69,15;30,36;412;435;8304,32;0,05
"147";"25_3";8,5;22;684,7;65;0;0,03;6,73;175,53;165,18;3,76;362,94;0,77;8,05;175,42;108,36;25,82;373,31;299,1;10017,71;0,04
"148";"25_4";9;35;688,9;55;2;0,05;9,24;188,83;171,51;5,99;346,23;0,84;9,19;174,94;136,98;13,85;364,3;564,32;10138,14;0,04
"149";"25_5";9;18;690,1;10;0;0,03;9,09;189,3;173,41;5,49;345,66;1,07;9,32;211,56;167,24;14,19;321,11;477,65;10373,78;0,03
"150";"25_6";9;14;720,4;10;0;0,02;6,25;206,77;175,29;10,26;325,97;0,57;42,44;217,34;142,94;23,82;316,36;304,06;11210,94;0,03
"151";"26_1";9,5;32;718,5;75;6;0,04;3,41;97,68;74,39;11,78;505,86;0,54;17,33;141,91;104,31;15,56;413,65;23,91;11707,84;0,04
"152";"26_2";9,5;24;812,8;90;1;0,04;3,12;94,65;75,55;9,82;513,73;0,59;8,22;145,56;110,26;14,34;407,47;34,18;11822,04;0,03
"153";"26_3";9,5;60;764,6;80;1;0,05;2,66;91,39;75,53;8,29;522,48;0,48;21,68;153,43;127,99;4,86;428,89;35,65;13886,91;0,04
"154";"26_4";9,5;28;806,2;65;4;0,07;1,67;106,44;87,89;8,98;484,41;0,54;5,65;155,11;117,25;14,81;392,29;28,81;14524,04;0,03
"155";"26_5";9,5;60;805,9;70;5;0,09;2,59;96,31;83,2;6,68;509,4;0,65;10,36;150,94;115,92;13,94;398,84;49,27;12436,74;0,03
"156";"26_6";9,5;18;806;90;3;0,04;2,22;89,48;73,44;8,47;527,76;0,49;6,08;138,22;103,96;14,35;419,86;30,05;11826,96;0,04
"157";"27_1";9;13;360,5;15;2;0,03;4,46;164,99;146,68;6,91;377,37;0,71;25,7;391,79;242,17;30,66;203,68;114,34;14799,67;0,01
"158";"27_2";0;0;150;0;1;0,02;5,88;160,84;147,39;5,16;383,38;0,57;28,58;328,61;321,87;2,42;234,5;132,83;13760,75;0,02
"159";"27_3";9;13;534,1;10;5;0,06;2,5;162,74;144,69;6,87;380,61;0,74;33,79;403,32;308,56;18,98;199,3;124,63;14899,62;0,01
"160";"27_4";9,5;10;192;40;1;0,01;9,38;183,54;153,32;10,66;352,69;0,61;38,83;420,02;205,29;42,65;195,01;223,51;16491,13;0,01
"161";"27_5";0;0;150;0;3;0,01;10,71;319,03;255,29;15,21;238,64;0,4;35,01;423,19;279,31;27,63;191,38;111,97;17111,42;0,01
"162";"27_6";0;0;150;0;3;0,02;4,76;172,08;143,36;10,55;367,54;0,45;40,63;415,31;264,79;29,94;196,25;179,25;15917,21;0,01
"163";"28_1";9,5;52;712,2;95;7;0,05;1,53;81,69;63,78;9,85;550,39;0,6;17,61;125,45;40;37,9;443,55;0,41;15010,91;0,03
"164";"28_2";9,5;24;547,9;95;10;0,09;1,16;106,85;89,14;8,56;483,44;0,47;16,89;137,04;38,89;41,41;421,88;0,42;15725,93;0,03
"165";"28_3";9,5;14;640,1;85;5;0,04;1,35;83,56;68,15;8,4;544,77;0,41;13,57;152,7;47,3;41,71;395,72;0,57;15340,54;0,03
"166";"28_4";9,5;30;823,9;70;7;0,02;2,63;68,22;45,16;13,71;594,45;0,6;18,12;122,97;41,89;36,36;448,48;0,47;12756,76;0,04
"167";"28_5";9,5;28;841,5;90;10;0,09;1,86;89,55;73;8,73;527,57;0,55;19,99;128,12;35,94;40,41;438,36;0,41;12837,5;0,03
