"";"X";"Nom_scientifique";"ID_espece";"Milieu_recolte";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_rami";"SD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT";"VPD";"Nb_FI";"SD_cr";"TD_cr";"LA_cr";"LDMC_cr";"LMC_t24_cr";"SLA_cr";"Nb_rami_cr";"Nb_essais";"groupe"
"28";28;"Elattostachys apetala";26;"F";26,4;4;67,1;9,5;0,5;9,5;37;37;785,67;80;80;1;3,33;2,62;95,99;78,33;510,61;0,55;10,26;11,55;147,53;110,18;15,04;410,17;33,74;12723,75;33,43;1,13;6;-0,670706765383869;-0,539399559600809;-0,451531489100519;0,4942256498389;-0,181416774304232;0,402649639280678;-0,599852293850888;6;"1"
"29";29;"Erythrina variegata var. fastigiata";54;"N";26,1;1,33;77,4;9,5;0,5;9,5;27,33;27,33;661,8;81,67;81,67;1;3,5;1,83;171,9;154,96;370,77;0,55;10,36;60,64;239,61;105,03;40,42;298,78;31,37;19099,65;16,4;0,76;6;-0,822158499038436;-0,539399559600809;-0,4738299045991;-0,627478452168912;-0,23549692375614;1,62109008026435;-0,567551093358442;6;"1"
"30";30;"Fagraea berteroana";31;"";27,4;1,2;70,9;4,67;0,83;9,17;6,33;10,83;322,93;2,5;4,5;0,5;2,33;13,9;141,65;128,46;416,54;0,66;12,81;27,5;376,91;327,06;10,46;210,16;95,25;8749,13;24,62;1,06;3;1,49179393793703;0,0795835415804471;0,127192366307786;-1,51988726373128;2,09604008261417;-0,356903952454218;-0,789859355571157;6;"2"
"31";31;"Ficus fraseri";56;"";30;4,8;65,6;5,92;1;9;17;20,17;403,45;10;11,83;0,83;13,83;3,31;136,57;111,11;425,09;0,71;12,83;18,07;241,28;89,11;44,44;294,4;21,84;16306,81;18,32;1,46;5;-0,538426137255197;0,360939496662836;-0,563493997300142;-0,671585319632725;-0,402672842061844;1,08737574955075;1,39522185421193;6;"2"
"32";32;"Ficus habrophyla";25;"F";26,4;4;67,1;8,92;1,08;8,92;24,5;24,5;685,33;48,33;48,33;1;0,83;7,17;192,74;176,03;342,03;0,86;16,54;21,47;181,93;120,61;22,31;359,93;401,3;9743,38;38,56;1,13;6;0,201578536044332;1,20500736191;3,00669872214768;-0,0116942180565344;-0,0718913454142519;-0,166901849465147;-1,07486994815156;6;"1"
"33";33;"Garcinia neglecta";66;"";33,67;3;64,6;6,25;3,75;6,25;19,5;19,5;592,5;27,5;27,5;1;19;6,49;130,16;99,06;438,94;0,62;11,01;19,32;250,28;167,49;24,48;290,29;21,73;7839,38;39,62;1,89;6;0,0712150184682495;-0,145501222485464;-0,564528944854929;-0,712973270609043;0,420395529596513;-0,530758026574717;2,37755836330572;6;"2"
"34";34;"Gardenia urvillei";43;"L";27,4;1,4;75;9,33;0,67;9,33;41,5;41,5;661,12;54,17;54,17;1;8,5;2,74;62,79;50,48;615,59;0,61;10,35;10,17;156,74;93,28;25,41;392,12;13,42;11961,93;33,75;0,91;6;-0,647701438752795;-0,201772413501942;-0,642714528311977;0,312461047619302;-0,358883672505639;0,257065126231512;0,382484215242901;6;"1"
"35";35;"Geissois pruinosa";6;"M";31,8;4,2;54,9;8,33;1,67;8,33;75,17;75,17;789,67;69,17;69,17;1;3,33;9,46;94,71;82,19;513,81;0,76;14,33;22,92;157,76;102,02;22;392,64;35,54;5881,55;69,75;2,12;6;0,640596852587317;0,642295451745225;-0,434595983658559;0,317697479372997;-0,267104933435799;-0,904901166926834;-0,599852293850888;6;"3"
"36";36;"Geissois racemosa";49;"F";29,5;5;59,9;9,08;0,92;9,08;34,17;34,17;748;70;70;1;1;4,21;114,23;103,96;494,6;0,74;13,77;43,79;169,06;99,05;25,85;374,22;118,54;9823,28;39,4;1,65;6;-0,365886187522146;0,529753069712269;0,346318989498477;0,132206954559424;-0,298292903119715;-0,151632884890013;-1,04256874765911;6;"1"
"37";37;"Glochidion billardierei";50;"";29,5;5;59,9;9,17;0,83;9,17;25,83;25,83;736,95;79,17;79,17;1;10;2,71;133,25;122,91;431,26;0,58;11,87;97,76;134,99;33,67;42,63;429,28;18,73;8678,84;51,99;1,65;6;-0,653452770410564;-0,370585986551376;-0,592754787258195;0,686664516787183;-0,984848276161605;-0,370336437059801;0,667494807823304;6;"1"
"38";38;"Grevillea rubiginosa";4;"M";31,8;4,2;54,9;8,33;1,67;8,33;68,67;68,67;750,45;55,83;55,83;1;11,83;2,94;75,33;63,42;571,11;0,75;13,48;76,2;100,88;17,7;41,22;500,52;15,56;4484,84;113,39;2,12;6;-0,609359227701006;0,586024260728747;-0,622580094064313;1,40405566704337;-1,15254924446199;-1,17181375155431;1,0152077307714;6;"3"
"39";39;"Guioa villosa";32;"M";27,4;1,2;70,9;9,25;0,75;9,25;36;36;759;84,17;84,17;1;6,5;4,2;71,57;56,55;583,41;0,44;8,05;23,35;103,97;60,7;21,25;492,52;3,52;6775,74;75,75;1,06;6;-0,367803298074735;-1,15838266078207;-0,735859808242756;1,32349517852499;-0,70100624903829;-0,734020623329351;0,00247009180236347;6;"1"
"40";40;"Hernandia cordigera";30;"";27,4;1,2;70,9;9;1;9;17,8;17,8;671,2;15;15;1;2,8;7,84;237,41;215,51;296,8;0,83;18,18;9,49;208,93;175,19;11,06;325,88;85,35;7194,12;46,88;1,06;5;0,330024943067826;1,03619378886057;0,0340470863770066;-0,354579797312895;0,501253228777035;-0,654067814831924;-0,70055603656263;5;"2"
"41";41;"Hibbertia lucens";10;"M";28,32;2,25;77,32;9,08;0,92;9,08;43;43;796,5;60,83;60,83;1;9,5;4,72;96,72;77,7;508,9;1,02;11,97;54,32;200,94;75,98;42,26;337,08;8,81;7141,27;48,76;0,88;6;-0,268113549340084;2,10534641817365;-0,686088239471663;-0,241795113387161;-0,540550970664475;-0,664167499159781;0,572491276963169;6;"1"
"42";42;"Hibiscus tiliaceus G";35;"N";28,3;2,33;75,1;9,17;0,83;9,17;28,83;28,83;740,17;81,67;81,67;1;0,67;6,3;203,12;186,36;339,44;0,64;13,34;21,53;214,8;117,38;31,57;322,07;604,91;15140,64;22,63;0,96;6;0,0347899179690498;-0,0329588404525086;4,92238664605737;-0,392946729969774;-0,105809575070497;0,864519574099139;-1,1052710780268;6;"1"
"43";43;"Hibiscus tiliaceus P";33;"G";28,3;2,17;75,1;8,92;1,08;8,92;36,83;36,83;727,72;63,33;63,33;1;3;5,04;169,84;149,64;381,11;0,61;12,56;13,32;213,5;132,38;25,81;327,46;172,44;15593,22;22,74;0,96;6;-0,206766011657221;-0,201772413501942;0,85344329134383;-0,338669100830515;0,051705423333118;0,951008034517337;-0,662554624218577;6;"1"
"44";44;"Hibiscus tiliaceus R";34;"G";27,43;1,9;75,67;9,33;0,67;9,33;28,33;28,33;720,57;64,17;64,17;1;2,33;5,53;194,73;173,56;354,34;0,52;12,19;14,91;201,19;118,15;27,34;334,63;168,58;14745,28;23,52;0,9;6;-0,112827594580338;-0,708213132650243;0,81712604078496;-0,266466762995915;-0,0977238051524447;0,788965909087564;-0,789859355571157;6;"1"
"45";45;"Hibiscus tiliaceus V";16;"";28,5;3,2;68,1;9;1;9;42,33;42,33;719,02;75,83;75,83;1;5,17;4,49;150,34;133,44;401,54;0,62;12,61;16,77;193,67;101,02;31,85;343,83;152,3;12595,53;28,44;1,24;6;-0,312207092049641;-0,145501222485464;0,663953802676568;-0,173822201199777;-0,277605933329373;0,378146677605789;-0,250239300285594;6;"1"
"46";46;"Lepidocupania arcuata";45;"L";25,7;1,2;76,8;8,67;1,33;8,67;29,17;29,17;776,28;56,67;56,67;1;8;2,18;71,54;59,47;585,69;0,57;9,78;28,58;92,47;22,02;36,58;519,91;20,82;7356,39;71,45;0,77;6;-0,755059629697805;-0,426857177567854;-0,573090783717253;1,5993141510898;-1,10718492492175;-0,623057866376267;0,287480684382766;6;"1"
"47";47;"Leucaena leucocephala";18;"I";26,3;1,5;81,7;9,5;0,5;9,5;27;27;655,27;76,67;76,67;1;16,33;2,67;117,83;98,35;465,02;0,51;11,75;77,67;284,62;24,06;66,45;277,47;0,26;24114,61;12,34;0,63;6;-0,661121212620922;-0,76448432366672;-0,766531890320972;-0,842071453459749;-1,08576288513885;2,57945361700669;1,8702395085126;6;"1"
"48";48;"Macaranga alchorneoides";65;"";31,8;5;76,6;9;1;9;26,67;26,67;748,5;80;80;1;0,17;6,02;139,37;122,34;427,19;0,64;12,41;45;189,72;79,98;39,05;351,67;239,12;7923,69;47,02;1,1;6;-0,0188891775034549;-0,0329588404525086;1,4808096818271;-0,094872922451763;-0,498546971090177;-0,514646306883484;-1,20027460888694;6;"1"
"49";49;"Mangifera indica";1;"I";30,2;5,7;75,1;8,83;1,17;8,83;19,33;19,33;758,95;57,5;57,5;1;7;NA;155,04;128,28;403,6;0,4;7,02;7,93;152,63;119,4;13,32;404,35;56,78;10450,65;41,67;1,07;6;NA;-1,38346742484798;-0,234757019443433;0,435617894441778;-0,0845975552854768;-0,0317418923305429;0,0974736226624978;6;"1"
"50";50;"Melaleuca quinquenervia";23;"";28,1;3;70,3;9,25;0,75;9,25;63,17;63,17;780,03;68,33;68,33;1;10,33;3,27;125,17;100,82;446,79;0,64;12,88;26,82;120,78;65,62;24,94;454,41;10,01;4901,04;94,73;1,13;6;-0,546094579465554;-0,0329588404525086;-0,674797902510356;0,939725151345549;-0,649341329561905;-1,09227754309159;0,730197138190992;6;"3"
"51";51;"Metrosideros laurifolia";11;"M";28,32;2,67;77,32;7,83;2,17;7,83;56,5;56,5;681,17;26,67;26,67;1;7,17;6,67;78,63;66,55;561,32;1,06;15,79;20,82;137,44;106,08;13,32;422,93;54,02;3766,61;114,9;0,88;6;0,10572300841486;2,33043118223956;-0,260724794454439;0,622719629025718;-0,224470873867887;-1,30906817491849;0,129774823154943;6;"2"
"52";52;"Montrouziera sphaeroidea";67;"";31,8;5;76,6;5,42;4,58;5,42;25,83;25,83;728,67;23,33;23,33;1;8,67;6,94;102,02;87,56;495,73;0,77;13,95;8,17;195,88;156,3;13,3;342,91;27,51;6408,46;56,17;1,1;6;0,157484993334775;0,698566642761703;-0,510147155157969;-0,18308665737939;0,302889340787416;-0,804208174132294;0,414785415735346;6;"2"
"53";53;"Morinda citrifolia";69;"";34,2;0;68,9;2,42;7,08;2,92;3,83;4,33;220,5;1,67;3,17;0,33;3,17;9,67;179,42;143,64;369,1;0,58;11,72;16,53;334,57;218,3;27,08;231,42;119,53;14147,35;16,95;1,67;2;0,680856174191695;-0,370585986551376;0,355633517491555;-1,30579776549368;0,953951334189025;0,67470092800609;-0,630253423726131;6;"4"
"54";54;"Myodocarpus fraxinifolius";37;"F";26,6;1,5;65,3;9,42;0,58;9,42;68;68;782,48;91,67;91,67;1;0,5;8,08;103,27;90,48;496,1;0,76;15,36;17,39;140,74;91,97;20,38;417,76;21,3;8029,22;53,55;1,21;6;0,376035596329972;0,642295451745225;-0,56857464893273;0,570657413320714;-0,372639982366221;-0,494479425386439;-1,13757227851925;6;"3"
"55";55;"Neuburgia novocaledonica";27;"F";26,4;4;67,1;4,75;0,5;9,5;6,33;11,33;249,1;16,67;32,5;0,33;2,5;6,18;193,87;165,12;350,04;0,58;12,36;33,76;397,04;257,35;28,29;203,35;147,76;15496,63;13,54;1,13;2;0,0117845913379764;-0,370585986551376;0,621238694506291;-1,58846437958255;1,3640153800331;0,932549595364494;-0,757558155078711;6;"2"
"56";56;"Pinus caribea";24;"I";28,1;3;70,3;9,5;0,5;9,5;103,33;103,33;902;77,5;77,5;1;4,5;8;86,4;78,19;537,57;0,71;15,29;9,66;129,04;110,91;7,94;438,61;4,91;7610,11;58,24;1,13;6;0,360698711909257;0,360939496662836;-0,722781834595909;0,780618186521746;-0,173751044381923;-0,574571737565217;-0,377544031638174;6;"3"
"57";57;"Plerandra gabriellae";64;"";31,75;4;71,55;7;3;7;26;26;530,67;9,5;9,5;1;0,17;6,97;215,17;195,89;319,42;1,13;24,35;6,23;184,56;157,31;9,59;355,4;156,4;5320,31;69,46;1,33;6;0,163236324992543;2,7243295193549;0,702529120627699;-0,0573115946800681;0,313495350679926;-1,01215465476348;-1,20027460888694;6;"2"
"58";58;"Rauvolfia semperflorens";68;"";34,6;2;58,6;8,58;1,42;8,58;39,5;39,5;667,17;51,67;51,67;1;12,17;2,27;92,14;64,06;520,62;0,58;10,7;20,3;199,45;98,72;33,47;335,39;8,98;9201,74;37,13;2,28;6;-0,7378056347245;-0,370585986551376;-0,684488775068811;-0,258813516586669;-0,301758233084594;-0,270409759008019;1,07981013175629;6;"1"
"59";59;"Santalum austrocaledonicum";14;"";28,5;3,2;68,1;9;1;9;28,5;28,5;603,6;35;35;1;11,33;3,13;88,43;66,19;532,03;0,53;9,71;25,5;234,24;149,62;25,4;302,55;8,4;10106,48;30,87;1,24;6;-0,572934127201807;-0,651941941633765;-0,689945771266776;-0,589514321954624;0,23274266149834;-0,0975131005636316;0,920204199911261;6;"2"
"60";60;"Scaevola cylindrica";62;"";31,72;3,33;68,18;7,75;2,25;7,75;28,67;28,67;605,33;40,83;40,83;1;9,5;3,55;155,21;124,47;396,32;0,73;13,31;23,17;375,07;183,7;40,97;214,25;26,5;12804,08;17,97;1,49;6;-0,49241548399305;0,473481878695792;-0,519649855433735;-1,47870071397626;0,590616737871353;0,418000777257155;0,572491276963169;6;"2"
"61";61;"Scaevola montana";46;"";24,1;2,4;64,2;7,92;0,58;9,42;16,33;17,83;547,03;29,17;30,83;0,83;14,5;1,73;111,39;87,88;475,12;0,56;10,37;16,72;391,37;197,21;40,38;206,3;12,63;19921,74;10,77;1,08;5;-0,84132960456433;-0,483128368584331;-0,65014733347817;-1,5587576994414;0,732485246433542;1,77819224656687;1,52252658556451;6;"2"
"62";62;"Scaevola taccada";21;"G";29,1;1,5;68,8;0,83;9,17;0,83;0,83;0,83;150;0,17;0,17;0;4;11,41;243,76;219,39;292,8;0,65;13,25;14,51;775,09;674,05;11,74;116,6;48,86;17188,41;7,04;1,26;0;1,01443341034226;0,0233123505639692;-0,309273243388057;-2,46204217695375;5,73978203568553;1,25585033239728;-0,472547562498308;6;"4"
"63";63;"Styphelia cymbulae";59;"";27,9;2;70,9;9,5;0,5;9,5;35,33;35,33;833,33;85;85;1;16;2,52;67,6;39,69;597,14;0,54;9,81;26,2;79,73;9,4;38,78;561,62;1,77;7446,18;79,94;1,09;6;-0,689877870909763;-0,595670750617287;-0,752324882977995;2,01933639810251;-1,23970754357865;-0,605898913570244;1,80753717814492;6;"1"
"64";64;"Syzygium cumini";15;"I";28,5;3,2;68,1;9,33;0,67;9,33;25,83;25,83;725,15;63,33;63,33;1;4,5;3,28;114,88;86,21;466,25;0,43;7,87;14,99;179,66;145,28;12,2;361,7;70,89;10172,36;37,59;1,24;6;-0,544177468912965;-1,21465385179854;-0,102001474006737;0,00612979002815726;0,187168321960227;-0,0849233710741469;-0,377544031638174;6;"1"
"65";65;"Tabernaemontana cerifera";36;"F";26,6;1,5;65,3;8,5;1,5;8,5;20;20;449,35;11,67;11,67;1;3;6,63;183,78;168,78;353,79;0,76;15,55;56,86;318,72;232,23;20,98;241,77;99,93;7280,97;34,73;1,21;6;0,0980545662045018;0,642295451745225;0,171224680456881;-1,20157263347303;1,10023026270652;-0,637470698769967;-0,662554624218577;6;"2"
"66";66;"Terminalia catappa";2;"I";31,7;2,5;66;8,9;1,1;8,9;19,2;19,2;630,4;28;28;1;2,2;NA;168,34;141,9;420,41;0,47;8,76;24,43;230,63;163,06;20,68;305,11;264,97;12749,96;24,64;1,59;5;NA;-0,989569087732632;1,72402235720191;-0,563734965628742;0,373876100067979;0,407658394743935;-0,814560273594791;5;"2"
