"ID_echantillon";"Nom_scientifique";"ID_espece";"Milieu_recolte";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_ramifications";"SD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT"
"07_1";"Araucaria columnaris";7;"G";31,1;4,6;73,5;8,5;1,5;8,5;30;30;382,7;5;5;1;4;29,86;87,32;75,48;533,85;0,9;18,28;2,15;108,19;100,03;3,89;480,46;79,41;8612,48;0,12
"07_2";"Araucaria columnaris";7;"G";31,1;4,6;73,5;8,5;1,5;8,5;170;170;864;70;70;1;0;39,27;99,22;80,06;501,95;0,74;14,82;4,51;111,7;99,84;5,61;472,81;37,16;3165,55;0,15
"07_3";"Araucaria columnaris";7;"G";31,1;4,6;73,5;8;2;8;17;17;180;5;5;1;1;20,83;71,25;63,21;583,93;0,91;17,85;5,2;116,27;108,63;3,53;462,5;35,14;3438,42;0,14
"07_5";"Araucaria columnaris";7;"G";31,1;4,6;73,5;8,5;1,5;8,5;208;208;586,5;50;50;1;0;12,24;66,45;56,57;600,78;0,78;14;1,81;109,57;103,77;2,76;477,36;23,7;3900,58;0,12
"07_6";"Araucaria columnaris";7;"G";31,1;4,6;73,5;8,5;1,5;8,5;148;148;528;15;15;1;0;28,55;88,92;71,37;529,32;0,83;15,53;3,05;104,38;99,11;2,56;502,4;42,06;2759,26;0,19
"08_1";"Casuarina collina";8;"R";31,1;4,6;73,5;9,5;0,5;9,5;46;46;771,9;95;95;1;29;2,29;60,13;47,29;624,51;0,62;10,91;7,89;102,31;29,68;35,83;497,98;7,1;14083,6;0,05
"08_2";"Casuarina collina";8;"R";31,1;4,6;73,5;9,5;0,5;9,5;28;28;739;95;95;1;21;8,66;68,39;47,25;593,87;0,4;7,79;8,98;113,25;20,2;43,64;469,05;5,92;9188,91;0,05
"08_3";"Casuarina collina";8;"R";31,1;4,6;73,5;9,5;0,5;9,5;88;88;752,3;95;95;1;13;6,89;72,52;61,43;579,65;0,69;11;6,03;96,98;11,76;43,25;507,76;4,97;7683,97;0,07
"08_4";"Casuarina collina";8;"R";28,1;3;70,3;9,5;0,5;9,5;24;24;432,2;90;90;1;32;1,19;85,72;53,99;538,44;0,32;5,51;14,26;120,59;24,17;42,74;459,05;1,5;19029,21;0,03
"08_5";"Casuarina collina";8;"R";28,1;3;70,3;9,5;0,5;9,5;26;26;759;95;95;1;22;5,98;64,58;48,27;607,62;0,59;12,05;19,03;120,1;56,71;28,68;455,43;4,7;10867,02;0,04
"08_6";"Casuarina collina";8;"R";28,1;3;70,3;9,5;0,5;9,5;16;16;761,3;95;95;1;23;2,12;73,5;48,43;576,38;0,36;6,59;13,14;110,24;34,63;35,72;483,99;2,94;13679,15;0,04
"09_1";"Arillastrum gummiferum ";9;"M";27,6;3;78,2;9;1;9;50;50;798;60;60;1;6;3,25;77,56;60,41;563,19;0,76;11,53;11,71;109,37;64,32;21,51;477,85;55,84;5325,48;0,09
"09_2";"Arillastrum gummiferum ";9;"M";29,9;6;72,5;9;1;9;32;32;788;60;60;1;10;5,34;71,68;63,9;582,49;1,24;15,82;11,82;92,19;56,1;18,86;520,7;61,68;4490,96;0,12
"09_3";"Arillastrum gummiferum ";9;"M";29,9;3;72,5;9;1;9;22;22;830;35;35;1;10;6,67;76,86;66,85;565,42;1,03;14,34;4,24;130,82;100,56;13,11;433,28;56,13;5716,54;0,08
"09_4";"Arillastrum gummiferum ";9;"M";27,5;3;77,7;9;1;9;53;53;859;70;70;1;10;8,6;82,19;71,24;548,87;0,89;11,86;5,36;132,21;91,99;17,28;430,87;68,19;5565;0,08
"09_5";"Arillastrum gummiferum ";9;"M";27,5;3;83;7,5;2,5;7,5;18;18;620;10;10;1;6;7,18;80,38;66,58;554,4;0,74;10,23;11,74;137,45;101,54;15,13;421,2;47,1;5659,47;0,07
"09_6";"Arillastrum gummiferum ";9;"M";27,5;3;80;9;1;9;23;23;609;20;20;1;8;4,92;80,64;70,38;553,58;0,8;11,5;6,46;156,14;117,11;15,13;391,26;56,7;7862,41;0,06
"10_1";"Hibbertia lucens";10;"M";27,6;3;78,2;9;1;9;43;43;826;80;80;1;10;7,26;110,41;90,35;475,25;0,96;9,3;31,95;208,23;132,58;26,34;331,87;9,36;7224,4;0,05
"10_2";"Hibbertia lucens";10;"M";29,9;3;72,5;9;1;9;35;35;818;80;80;1;11;3,87;97,27;76,11;506,92;0,97;11,52;73,38;177,22;53,36;45,34;366,61;6,12;6670,26;0,06
"10_3";"Hibbertia lucens";10;"M";29,9;3;72,5;9;1;9;40;40;766;60;60;1;8;3,51;96,36;71,08;509,28;0,88;10,48;67,85;230,99;78,8;46,49;303,26;8,71;7706,96;0,04
"10_4";"Hibbertia lucens";10;"M";27,5;1,5;77,7;9;1;9;58;58;840;45;45;1;7;4,61;91,8;77,12;521,38;0,93;12,46;44,11;193,94;33,21;54,66;344,49;7,61;6947,97;0,05
"10_5";"Hibbertia lucens";10;"M";27,5;1,5;83;9,5;0,5;9,5;38;38;803;40;40;1;9;4,81;94,37;75,34;514,49;0,94;11,57;56,19;209,08;83,23;40,84;323,98;11,81;7767,19;0,04
