"";"Nom_scientifique";"ID_espece";"Milieu_recolte";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_ramifications";"SD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT"
"26";"Ficus habrophyla";25;"F";0;0;0;0,19;0,19;0,19;7,67;7,67;30,71;28,26;28,26;0;1,23;1,86;10,52;7,97;12,4;0,16;2,7;15,49;34,42;47,29;10,31;44,8;149,15;1583,5;0,01
"27";"Gardenia urvillei";43;"L";0;0;0;0,24;0,24;0,24;25,77;25,77;51,78;18,9;18,9;0;0,78;2,74;7,52;6,52;28,86;0,05;1,08;5,8;21;39,53;10,14;32,91;3,17;1755,26;0,01
"28";"Geissois pruinosa";6;"M";0;0;0;0,24;0,24;0,24;37,13;37,13;35,96;23,01;23,01;0;2,6;3,06;4,05;4,42;10,75;0,1;1,77;8,31;29,26;35,14;6,96;43,77;8,77;1070,16;0,02
"29";"Geissois racemosa";49;"F";0;0;0;0,19;0,19;0,19;10,93;10,93;40,9;20,76;20,76;0;1,55;1,47;43,96;40,88;141,99;0,31;3,43;26,09;22,64;24,12;7,73;31,3;53,59;1563,27;0,01
"30";"Glochidion billardierei";50;"F";0;0;0;0,24;0,24;0,24;3,73;3,73;79,67;14,8;14,8;0;1,02;0,94;17,39;16,21;35,32;0,06;1,32;26,53;23,37;10,37;6,72;38,64;3,34;1832,22;0,01
"31";"Grevillea rubiginosa";4;"M";0;0;0;0,7;0,7;0,7;21,66;21,66;83,64;30,85;30,85;0;5,36;0,7;6,53;4,36;20,98;0,1;1,85;10,74;15,33;7,61;4,17;36,92;5,57;492,56;0,02
"32";"guioa villosa";32;"M";0;0;0;0,25;0,25;0,25;10,94;10,94;72;12,25;12,25;0;2,54;1,98;5,46;5,29;18,7;0,04;0,42;7,38;14,81;20,89;8,85;32,24;1,26;1478,45;0,02
"33";"Hernandia cordigera";30;"F";0;0;0;2,27;2,27;2,27;3,29;3,29;96,57;6,34;6,34;0;1,74;4,19;13,46;15,97;12,13;0,07;1,41;4,22;24,25;27,2;2,69;25,9;22,72;1137,4;0,01
"34";"Hibbertia lucens";10;"M";1,14;0,76;3,87;0,19;0,19;0,19;7,47;7,47;39,76;15,65;15,65;0;1,74;1,24;6,72;6,08;16,71;0,19;2,29;14,13;35,6;55,76;14;42,29;2,46;916,32;0,01
"35";"Hibiscus tiliaceus G";35;"N";0;0,48;0;0,24;0,24;0,24;6,81;6,81;115,8;15,16;15,16;0;0,76;2,91;50,2;43,93;59,97;0,07;1,44;7,31;38,98;54,7;11,08;37,38;159,17;3166,88;0,01
"36";"Hibiscus tiliaceus P";33;"G";0;0,38;0;0,9;0,9;0,9;15,83;15,83;40,28;24,15;24,15;0;2,2;1,26;47,89;45,38;61,59;0,16;1,82;3,97;58,84;47,16;7,94;47,98;58,09;4206,94;0,01
"37";"Hibiscus tiliaceus R";34;"N";1,25;0,62;0,82;0,24;0,24;0,24;4,61;4,61;56,94;13,59;13,59;0;1,12;1,86;58,21;51,74;79;0,07;1,28;5,11;27,14;24,62;7,55;28,37;82,99;2506,59;0,01
"38";"Hibiscus tiliaceus V";16;"G";0;0;0;0,51;0,51;0,51;15,54;15,54;34,47;9,48;9,48;0;1,49;1,2;18,56;19,73;29,13;0,1;1,52;5,92;29,99;53,38;15,48;34,04;56,12;2194,02;0,01
"39";"Lepidocupania arcuata";45;"L";0;0;0;0,38;0,38;0,38;7,48;7,48;63,1;30,75;30,75;0;1,76;0,59;12,05;11,17;40,4;0,06;0,98;4,77;5,15;10,9;5,66;13,95;9,18;719,97;0,01
"40";"Leucaena leucocephala";18;"L";0;0;0;0;0;0;5,72;5,72;51,8;13,35;13,35;0;4,26;1,12;24,13;19,03;55,62;0,09;2,3;9,73;97,31;15,31;5,99;74,58;0,06;5115,48;0
"41";"Mangifera indica";1;"N";0;0;0;0,24;0,24;0,24;6,4;6,4;71,51;15,74;15,74;0;3,9;NA;48,84;30,8;62,86;0,05;0,76;2;36,2;35,06;3,81;62,13;34,36;2051,41;0,02
"42";"Melaleuca quinquenervia";23;"R";0;0;0;0,25;0,25;0,25;7,11;7,11;22,05;13,98;13,98;0;3,03;1,22;17,43;18,31;36,08;0,08;1,8;8,39;12,9;18,8;7,8;26,64;2,95;633,03;0,02
"43";"Metrosideros laurifolia";11;"M";1,14;1,46;3,87;0,63;0,63;0,63;46,55;46,55;155,31;26,04;26,04;0;3,02;1,6;9,34;8,35;29,93;0,12;1,46;5,75;15,88;22,39;5,88;27,34;25,13;476,66;0,02
