ID_echantillon;T_ambiante;Vent;Humidite;T_grill;DI;DI_test;MT;temps_total;BB;BB_test;remarque;longeur;largeur;hauteur;masse
13_5;28,5;3,2;68,1;175,6;1;1;612,7;145;75;75;;70;38;14;150
13_6;28,5;3,2;68,1;168,4;9;9;400;133;2;2;espace au dessus chalumeau;70;40;32;275
14_1;28,5;3,2;68,1;160,6;1;1;632;141;75;75;;70;50;16;75
14_2;28,5;3,2;68,1;188;0,5;0,5;705;150;40;40;;70;53;13;125
14_3;28,5;3,2;68,1;158,7;1;1;590,3;141;45;45;;70;55;18;50
14_4;28,5;3,2;68,1;180,1;1;1;449;135;10;10;;70;60;19;200
14_5;28,5;3,2;68,1;166,1;1;1;671,2;174;30;30;;70;60;26;150
14_6;28,5;3,2;68,1;154,8;1,5;1,5;574,1;155;10;10;;70;72;19;125
15_1;28,5;3,2;68,1;154,9;0,5;0,5;678,4;154;85;85;;70;80;22;125
15_2;28,5;3,2;68,1;165,1;1;1;823,6;141;70;70;;70;76;21;175
15_3;28,5;3,2;68,1;152,5;1;1;687;158;30;30;;70;88;13;75
15_4;28,5;3,2;68,1;168,9;0,5;0,5;716;146;85;85;;70;73;13;150
15_5;28,5;3,2;68,1;158,4;0,5;0,5;660,3;137;65;65;;70;73;11;125
15_6;28,5;3,2;68,1;150,6;0,5;0,5;785,6;142;45;45;;70;83;15;200
16_1;28,5;3,2;68,1;186;0,5;0,5;708,5;150;75;75;;70;60;17;125
16_2;28,5;3,2;68,1;166;1;1;736,4;195;65;65;;70;78;18;250
16_3;28,5;3,2;68,1;164,2;0,5;0,5;689,8;152;65;65;;70;58;13;150
16_4;28,5;3,2;68,1;168;1;1;687,4;160;90;90;;70;47;17;175
16_5;28,5;3,2;68,1;158,9;2;2;785,8;169;75;75;;70;45;16;125
16_6;28,5;3,2;68,1;179,1;1;1;706,2;153;85;85;;70;53;25;125
17_1;26,3;1,5;81,7;149,6;10;7;150;130;0;2;;70;75;30;375
17_2;26,3;1,5;81,7;172,5;5;5;218;133;3;3;;70;79;27;525
17_3;26,3;1,5;81,7;170,2;5;5;506,3;138;5;5;;70;68;35;300
17_4;26,3;1,5;81,7;161,2;2;2;498,9;139;10;10;;70;70;31;450
17_5;26,3;1,5;81,7;170,2;10;3;150;130;0;5;;70;64;30;375
17_6;26,3;1,5;81,7;177,7;3;3;467,3;144;10;10;;70;70;28;275
18_1;26,3;1,5;81,7;158,6;0,5;0,5;587,6;140;70;70;;70;43;18;125
18_2;26,3;1,5;81,7;183;0,5;0,5;651,3;144;90;90;;70;57;14;100
18_3;26,3;1,5;81,7;155;0,5;0,5;597,5;144;95;95;;70;52;12;75
18_4;26,3;1,5;81,7;168,8;0,5;0,5;734,2;149;75;75;;70;63;23;75
18_5;26,3;1,5;81,7;160,7;0,5;0,5;672,6;148;55;55;;70;50;7;25
18_6;26,3;1,5;81,7;182,8;0,5;0,5;688,4;158;75;75;;70;70;25;100
19_1;29,1;1,5;68,8;155,5;3;3;788,4;227;80;80;;70;52;17;375
19_2;29,1;1,5;68,8;175,1;10;5;150;130;0;2;;70;57;17;225
19_3;29,1;1,5;68,8;184;10;4;150;130;0;5;;70;55;23;375
19_4;29,1;1,5;68,8;177,5;5;5;514;136;5;5;;70;44;18;425
19_5;29,1;1,5;68,8;180;1,5;1,5;642,4;145;5;5;;70;63;27;675
19_6;29,1;1,5;68,8;187,3;4;4;539,9;137;5;5;;70;50;24;575
20_1;29,1;1,5;68,8;182,9;3;3;462,6;138;15;15;;70;64;26;225
20_2;29,1;1,5;68,8;163,5;1;1;713;152;20;20;;70;57;20;375
20_3;29,1;1,5;68,8;167,7;1;1;386,2;138;10;10;;70;47;33;325
20_4;29,1;1,5;68,8;178,2;10;1;150;130;0;20;;70;68;36;375
20_5;29,1;1,5;68,8;160;10;0,5;150;130;0;10;;70;51;23;175
20_6;29,1;1,5;68,8;188;1;1;685,6;135;15;15;;70;74;17;275
21_1;29,1;1,5;68,8;168,5;10;10;150;130;0;0;;70;36;21;300
21_2;29,1;1,5;68,8;171,9;5;5;426,2;136;1;1;;70;32;19;200
21_3;29,1;1,5;68,8;175,7;10;10;150;130;0;0;;70;84;19;300
21_4;29,1;1,5;68,8;165,1;10;10;150;130;0;0;;70;27;14;175
21_5;29,1;1,5;68,8;168,5;10;10;150;130;0;0;;70;41;12;250
21_6;29,1;1,5;68,8;188,1;10;10;150;130;0;0;;70;50;8;250
22_1;29,1;1,5;68,8;160;0,5;0,5;656,2;167;70;70;;70;65;27;200
22_2;29,1;1,5;68,8;173,5;0,5;0,5;615;250;60;60;;70;58;38;275
22_3;29,1;1,5;68,8;162,7;0,5;0,5;785,7;187;60;60;;70;66;34;425
22_4;29,1;1,5;68,8;176,5;1;1;657,7;168;65;65;;70;62;39;175
22_5;29,1;1,5;68,8;161,8;0,5;0,5;648;140;40;40;;70;50;27;125
22_6;29,1;1,5;68,8;155;1;1;576,2;140;55;55;;70;60;30;150
23_1;28,1;3;70,3;170,3;1;1;759,2;183;80;80;;70;58;21;150
23_2;28,1;3;70,3;174,8;0,5;0,5;794,6;195;55;55;;70;65;24;250
23_3;28,1;3;70,3;161,4;1;1;798;177;65;65;;70;72;37;200
23_4;28,1;3;70,3;175;0,5;0,5;790,6;177;90;90;;70;79;28;225
23_5;28,1;3;70,3;163;1;1;741,6;192;70;70;;70;78;47;250
23_6;28,1;3;70,3;167,9;0,5;0,5;796,2;181;50;50;;70;79;10;150
24_1;28,1;3;70,3;176;0,5;0,5;938;283;90;90;;70;44;15;225
24_2;28,1;3;70,3;160,7;0,5;0,5;934,7;170;45;45;;70;61;20;250
24_3;28,1;3;70,3;157,6;0,5;0,5;953,5;287;95;95;;70;47;23;475
24_4;28,1;3;70,3;162,2;0,5;0,5;772,7;214;95;95;;70;42;15;175
24_5;28,1;3;70,3;173;0,5;0,5;870,9;190;50;50;;70;78;28;475
24_6;28,1;3;70,3;164,1;0,5;0,5;942,2;198;90;90;;70;43;25;300
25_1;26,4;4;67,1;175,6;1;1;704,5;154;50;50;;70;85;13;325
25_2;26,4;4;67,1;183,6;1;1;623,4;146;95;95;;70;68;18;175
25_3;26,4;4;67,1;155,8;1,5;1,5;684,7;144;60;60;;70;71;10;175
25_4;26,4;4;67,1;184,6;1;1;688,9;156;55;55;;70;74;17;425
25_5;26,4;4;67,1;176,4;1;1;690,1;139;20;20;;70;83;11;300
25_6;26,4;4;67,1;185,8;1;1;720,4;135;10;10;;70;66;10;150
26_1;26,4;4;67,1;192,8;0,5;0,5;718,5;152;80;80;;70;60;20;150
26_2;26,4;4;67,1;156,3;0,5;0,5;812,8;145;90;90;;70;54;20;125
26_3;26,4;4;67,1;194,4;0,5;0,5;764,6;181;80;80;;70;80;16;125
26_4;26,4;4;67,1;163;0,5;0,5;806,2;148;70;70;;70;68;30;125
26_5;26,4;4;67,1;159,6;0,5;0,5;805,9;181;70;70;;70;95;25;225
26_6;26,4;4;67,1;173,7;0,5;0,5;806;139;90;90;;70;58;21;100
27_1;26,4;4;67,1;157;0,5;0,5;360,5;134;20;20;;70;63;12;125
27_2;26,4;4;67,1;156,6;10;0,5;150;130;0;40;;70;39;12;100
27_3;26,4;4;67,1;159,3;0,5;0,5;534,1;134;25;25;;70;65;25;150
27_4;26,4;4;67,1;186,3;0,5;0,5;192;131;55;55;;70;38;6;75
27_5;26,4;4;67,1;180,4;10;0,5;150;130;0;25;;70;28;7;75
27_6;26,4;4;67,1;189,7;10;0,5;150;130;0;30;;70;38;15;100
28_1;26,4;4;67,1;158,6;0,5;0,5;712,2;173;95;95;;70;54;25;75
28_2;26,4;4;67,1;180,2;0,5;0,5;547,9;144;95;95;;70;62;38;100
28_3;26,4;4;67,1;179,3;0,5;0,5;640,1;135;90;90;;70;60;17;50
28_4;26,4;4;67,1;177,1;0,5;0,5;823,9;150;70;70;;70;65;8;50
28_5;26,4;4;67,1;186,5;0,5;0,5;841,5;148;90;90;;70;92;28;175
28_6;26,4;4;67,1;152,9;0,5;0,5;659,8;141;90;90;;70;90;16;125
29_1;27,4;1,2;70,9;171,7;1;1;411,4;133;10;10;;70;68;13;200
29_2;27,4;1,2;70,9;182,2;1;1;624,1;192;60;60;Fruits sec;70;66;13;175
29_3;27,4;1,2;70,9;168,5;0,5;0,5;529,2;137;20;20;13h50;70;70;11;150
29_4;27,4;1,2;70,9;182,4;1;1;460,3;137;5;5;;70;93;15;225
29_5;27,4;1,2;70,9;165,6;0,5;0,5;614,9;156;30;30;;70;72;11;225
29_6;27,4;1,2;70,9;154,8;1;1;273;135;5;5;;70;83;10;225
30_1;27,4;1,2;70,9;188,9;1;1;617,5;138;10;10;fleur;70;52;14;350
30_2;27,4;1,2;70,9;184,5;1;1;717,1;143;15;15;fleur;70;71;21;325
30_3;27,4;1,2;70,9;155,6;1;1;612,3;135;10;10;fleur;70;46;20;250
