"";"ID_echantillon";"ID_Feuille";"Esp";"Masse_F_T0";"Masse_F_T24";"Masse_F_Tsec";"Longueur_F";"Largeur_F";"Surface_F";"LMC_t0";"LMC_t24";"LDMC";"SLA";"LT"
"42";"02_3";"02_3_2";"Terminalia_catappa";5,638;4,55;1,507;NA;NA;222,014;274,12;201,92;267,29;14732,18;0,0181
"43";"02_3";"02_3_3";"Terminalia_catappa";7,468;5,384;2,311;NA;NA;295,79;223,15;132,97;309,45;12799,22;0,0242
"44";"02_3";"02_3_4";"Terminalia_catappa";2,761;2,191;0,833;NA;NA;121,061;231,45;163,03;301,7;14533,13;0,0208
"45";"02_3";"02_3_5";"Terminalia_catappa";4,542;3,608;1,22;NA;NA;180,18;272,3;195,74;268,6;14768,85;0,0182
"46";"02_4";"02_4_1";"Terminalia_catappa";5,068;4,4;1,48;NA;NA;196,003;242,43;197,3;292,03;13243,45;0,0221
"47";"02_4";"02_4_2";"Terminalia_catappa";6,678;5,901;1,938;NA;NA;263,686;244,58;204,49;290,21;13606,09;0,0213
"48";"02_4";"02_4_3";"Terminalia_catappa";6,692;6,341;1,941;NA;NA;258,854;244,77;226,69;290,05;13336,12;0,0217
"49";"02_4";"02_4_4";"Terminalia_catappa";9,225;8,021;2,55;NA;NA;317,005;261,76;214,55;276,42;12431,57;0,0222
"50";"02_4";"02_4_5";"Terminalia_catappa";6,842;5,919;1,915;NA;NA;248,77;257,28;209,09;279,89;12990,6;0,0215
"51";"02_5";"02_5_1";"Terminalia_catappa";5,467;4,456;1,79;NA;NA;196,583;205,42;148,94;327,42;10982,29;0,0298
"52";"02_5";"02_5_2";"Terminalia_catappa";4,42;3,717;1,602;NA;NA;176,975;175,91;132,02;362,44;11047,13;0,0328
"53";"02_5";"02_5_3";"Terminalia_catappa";4,12;3,193;1,382;NA;NA;142,763;198,12;131,04;335,44;10330,17;0,0325
"54";"02_5";"02_5_4";"Terminalia_catappa";5,418;4,435;1,881;NA;NA;202,735;188,04;135,78;347,18;10778,04;0,0322
"55";"02_5";"02_5_5";"Terminalia_catappa";4,689;3,065;1,276;NA;NA;173,29;267,48;140,2;272,13;13580,72;0,02
"56";"02_6";"02_6_1";"Terminalia_catappa";7,45;5,701;2,535;NA;NA;264,661;193,89;124,89;340,27;10440,28;0,0326
"57";"02_6";"02_6_2";"Terminalia_catappa";7,234;6,425;2,176;NA;NA;215,001;232,44;195,27;300,8;9880,56;0,0304
"58";"02_6";"02_6_3";"Terminalia_catappa";3,978;3,483;1,249;NA;NA;133,588;218,49;178,86;313,98;10695,6;0,0294
"59";"02_6";"02_6_4";"Terminalia_catappa";10,552;5,949;3,591;NA;NA;370,162;193,85;65,66;340,31;10308,05;0,033
"60";"02_6";"02_6_5";"Terminalia_catappa";8,294;7,3;2,54;NA;NA;248,482;226,54;187,4;306,25;9782,76;0,0313
"61";"03_1";"03_1_1";"Alphitonia_neocaledonica";0,674;0,544;NA;NA;NA;20,437;NA;NA;NA;NA;NA
"62";"03_1";"03_1_2";"Alphitonia_neocaledonica";0,637;0,527;NA;NA;NA;19,278;NA;NA;NA;NA;NA
