"";"ID_echantillon";"Masse_T_T0";"Masse_T_T24";"Masse_T_Tsec";"Longeur_T_cm";"diametre_T_1_mm";"diametre_T_2_mm";"Nb_ramifications";"mat_mort";"Gmin";"V_tige";"D_tige";"TMC_t0";"TMC_t24";"PET";"TDMC"
"47";"09_2";41,728;39,838;NA;13,5;16,55;15,09;10;0;8,456437694;33,55;1,24;NA;NA;4,53;NA
"48";"09_3";25,873;24,409;NA;11,2;12,86;15,83;10;0;3,16188078;25,24;1,03;NA;NA;5,66;NA
"49";"09_4";14,353;13,49;NA;8,7;11,52;12,19;10;0;3,774010658;16,2;0,89;NA;NA;6,01;NA
"50";"09_5";11,205;10,348;NA;9,4;10,32;10,13;6;0;8,355439602;15,1;0,74;NA;NA;7,65;NA
"51";"09_6";12,448;11,741;NA;8,6;10,31;12,68;8;0;4,713699649;15,53;0,8;NA;NA;5,68;NA
"52";"10_1";13,557;12,264;NA;9,7;9,45;9,14;10;0;22,93004887;14,16;0,96;NA;NA;9,54;NA
"53";"10_2";10,041;8,964;NA;5,7;10,87;12,17;11;0;52,629072;10,31;0,97;NA;NA;10,73;NA
"54";"10_3";14,442;12,583;NA;10;10,17;10,79;8;0;48,5945215;16,46;0,88;NA;NA;12,87;NA
"55";"10_4";22,147;20,452;NA;12,2;13,5;11,43;7;0;31,14356624;23,89;0,93;NA;NA;7,65;NA
"56";"10_5";20,08;18,114;NA;11,8;11,53;11,61;9;0;41,28137379;21,45;0,94;NA;NA;9,79;NA
"57";"10_6";46,378;42,989;NA;12,6;15,69;17,29;12;0;37,54732744;32,64;1,42;NA;NA;7,31;NA
"58";"11_1";29,005;27,29;NA;10,2;16,52;16,2;7;0;13,00478683;26,21;1,11;NA;NA;5,91;NA
"59";"11_2";22,603;21,082;NA;8,5;17,17;14,89;9;0;17,35182283;21,4;1,06;NA;NA;6,73;NA
"60";"11_3";33,58;31,315;NA;11,7;17,19;18,2;5;0;15,07469735;32,52;1,03;NA;NA;6,75;NA
"61";"11_4";15,115;14,171;NA;6;14,76;16,28;11;0;7,737110806;14,63;1,03;NA;NA;6,25;NA
"62";"11_5";14,556;13,272;NA;8,2;14,48;11,42;2;0;20,62450215;16,68;0,87;NA;NA;8,82;NA
"63";"11_6";23,29;21,888;NA;7,2;16,04;16,33;9;0;15,47006856;18,3;1,27;NA;NA;6,02;NA
"64";"12_1";10,869;9,61;NA;10,5;9,54;8,72;7;0;14,44614117;15,06;0,72;NA;NA;11,58;NA
"65";"12_2";20,181;18,944;NA;8,7;13,16;14,53;9;0;11,44902806;18,92;1,07;NA;NA;6,13;NA
"66";"12_3";13,503;12,561;NA;10,2;10,96;10,42;8;0;16,60753827;17,13;0,79;NA;NA;6,98;NA
"67";"12_4";16,788;15,786;NA;10,1;11,82;12,76;7;0;15,07506417;19,5;0,86;NA;NA;5,97;NA
"68";"12_5";9,517;8,64;NA;5,5;11,93;12,09;10;0;13,25059703;10,38;0,92;NA;NA;9,22;NA
"69";"12_6";15,66;14,963;NA;12;10,08;10,71;8;0;14,5319057;19,59;0,8;NA;NA;4,45;NA
